LagosName,surfaceArea
LAGOS105,0.676607304
LAGOS106,6.037290948
LAGOS107,1.644633504
LAGOS108,0.059995574
LAGOS109,0.385741162
LAGOS110,4.455298198
LAGOS111,0.751725189
LAGOS113,0.072835873
LAGOS114,0.053273624
LAGOS115,0.043674813
LAGOS116,0.069514968
LAGOS117,0.072235213
LAGOS118,0.261077468
LAGOS119,0.188377875
LAGOS120,0.193978514
LAGOS121,0.102019541
LAGOS122,1.383417549
LAGOS123,0.1001401
LAGOS124,0.044252944
LAGOS125,0.043229818
LAGOS126,0.398743521
LAGOS127,0.459508767
LAGOS128,2.845835657
LAGOS129,0.031128413
LAGOS130,4.225462536
LAGOS131,11.91026314
LAGOS132,0.073967719
LAGOS133,0.101979016
LAGOS134,0.050091431
LAGOS135,0.04162513
LAGOS136,0.08072207
LAGOS137,0.37085526
LAGOS138,0.037446215
LAGOS139,0.094553319
LAGOS140,0.584034949
LAGOS141,1.29366744
LAGOS142,0.909616277
LAGOS143,0.173120004
LAGOS144,0.411188031
LAGOS145,0.036673958
LAGOS146,0.150474615
LAGOS147,0.076377527
LAGOS148,7.844282928
LAGOS149,0.048997492
LAGOS150,5.964977438
LAGOS151,2.580208272
LAGOS152,0.366245108
LAGOS153,0.033337377
LAGOS154,0.04821856
LAGOS155,0.323782956
LAGOS156,0.783064187
LAGOS157,0.15758674
LAGOS158,0.03021469
LAGOS159,0.062466078
LAGOS160,0.536537707
LAGOS161,0.077772933
LAGOS162,0.144100195
LAGOS163,0.198452836
LAGOS164,0.073108504
LAGOS165,0.938295716
LAGOS166,2.778762971
LAGOS167,0.0820363
LAGOS168,0.434043962
LAGOS169,1.382562475
LAGOS170,0.069954609
LAGOS171,1.368457325
LAGOS172,0.261395333
LAGOS173,0.203394077
LAGOS174,0.734504531
LAGOS176,1.903186898
LAGOS177,0.034876892
LAGOS178,0.172289903
LAGOS179,3.35857433
LAGOS180,0.219104126
LAGOS181,0.05570497
LAGOS182,0.917691588
LAGOS183,0.359477331
LAGOS184,0.087047622
LAGOS185,3.594655193
LAGOS186,0.154660882
LAGOS187,1.269883124
LAGOS188,0.44618869
LAGOS189,0.659352223
LAGOS190,0.029526019
LAGOS191,0.207365377
LAGOS192,0.31300693
LAGOS193,0.289378814
LAGOS194,0.063266156
LAGOS195,0.082116223
LAGOS196,0.664558157
LAGOS197,0.107045608
LAGOS198,0.328960856
LAGOS199,0.426742146
LAGOS200,0.41567954
LAGOS201,0.042003714
LAGOS202,0.035472529
LAGOS203,0.054089337
LAGOS204,1.22182178
LAGOS205,0.113658895
LAGOS206,0.075842985
LAGOS207,0.241820679
LAGOS208,0.171806474
LAGOS209,3.027348529
LAGOS210,0.134206108
LAGOS211,1134.964045
LAGOS212,0.066528772
LAGOS213,2.572372135
LAGOS214,0.02871107
LAGOS215,0.120450974
LAGOS216,0.064174269
LAGOS217,0.259317387
LAGOS218,0.077109037
LAGOS219,0.434755149
LAGOS220,0.015592776
LAGOS221,0.140066595
LAGOS222,1.311451607
LAGOS223,5.338002329
LAGOS224,0.177052591
LAGOS225,0.105229617
LAGOS226,0.107788298
LAGOS227,0.097492771
LAGOS228,0.707789664
LAGOS229,0.040313982
LAGOS230,0.560305952
LAGOS231,0.06381191
LAGOS232,0.641295366
LAGOS233,57.46382652
LAGOS234,0.144530778
LAGOS235,0.080143482
LAGOS236,0.069661152
LAGOS237,0.174393956
LAGOS238,0.014567017
LAGOS239,0.107096605
LAGOS240,2.626515543
LAGOS241,0.042770692
LAGOS242,0.072213163
LAGOS243,0.133029622
LAGOS244,0.07278267
LAGOS245,0.079675354
LAGOS246,0.042193419
LAGOS247,0.031260981
LAGOS248,0.048473805
LAGOS249,0.300086238
LAGOS250,0.095691819
LAGOS251,4.228772673
LAGOS252,1.201275277
