"","Lat","Lon","StudyID","UniqueLakeName","optional"
"135",-25.24,28.51,"148","L0071",TRUE
"136",39.76,32.79,"149","L1456",TRUE
"137",56.76,37.07,"155","L8134",TRUE
"138",57.16,37.65,"155","L8136",TRUE
"139",58.45,38.42,"155","L8143",TRUE
"140",40.56,-121.29,"156","L1700",TRUE
"141",45.54,-72.04,"165","L5371",TRUE
"142",52.42,17.07,"176","L7932",TRUE
"143",53.56,108.17,"181","L7894",TRUE
"144",-2.93,-79.25,"183","L0112",TRUE
"145",-2.91,-79.26,"183","L0113",TRUE
"146",-2.89,-79.29,"183","L0114",TRUE
"147",-2.89,-79.29,"183","L0115",TRUE
"148",-2.88,-79.27,"183","L0116",TRUE
"149",-2.87,-79.23,"183","L0117",TRUE
"150",-2.87,-79.3,"183","L0118",TRUE
"151",-2.86,-79.3,"183","L0119",TRUE
"152",-2.86,-79.22,"183","L0120",TRUE
"153",-2.86,-79.23,"183","L0121",TRUE
"154",-2.85,-79.34,"183","L0122",TRUE
"155",-2.84,-79.15,"183","L0123",TRUE
"156",-2.84,-79.3,"183","L0124",TRUE
"157",-2.83,-79.34,"183","L0125",TRUE
"158",-2.83,-79.29,"183","L0126",TRUE
"159",-2.83,-79.26,"183","L0127",TRUE
"160",-2.82,-79.26,"183","L0128",TRUE
"161",-2.82,-79.3,"183","L0129",TRUE
"162",-2.81,-79.21,"183","L0130",TRUE
"163",-2.8,-79.27,"183","L0131",TRUE
"164",-2.8,-79.25,"183","L0132",TRUE
"165",-2.79,-79.25,"183","L0133",TRUE
"166",-2.79,-79.2,"183","L0134",TRUE
"167",-2.78,-79.21,"183","L0135",TRUE
"168",-2.78,-79.22,"183","L0136",TRUE
"169",-2.78,-79.23,"183","L0138",TRUE
"170",-2.78,-79.22,"183","L0139",TRUE
"171",-2.77,-79.23,"183","L0140",TRUE
"172",-2.77,-79.2,"183","L0141",TRUE
"173",-2.77,-79.23,"183","L0143",TRUE
"174",-2.75,-79.23,"183","L0144",TRUE
"175",-27.73,-48.52,"195","L0062",TRUE
"176",31.09,108.68,"205","L0398",TRUE
"177",31.18,108.46,"205","L0418",TRUE
"178",29.13,116.28,"212","L0344",TRUE
"179",28.53,76.55,"218","L0325",TRUE
"180",43.45,-87.22,"223","L2711",TRUE
"181",40.3,9.54,"225","L1628",TRUE
"182",36.56,-88.04,"226","L0790",TRUE
"183",43.44,-76.64,"227","L3277",TRUE
"184",43.22,-79.25,"228","L3277",TRUE
"185",11.94,-85.9,"229","L0234",TRUE
"186",30.41,-91.17,"239","L0375",TRUE
"187",49.55,21.09,"240","L7853",TRUE
"188",49.55,21.93,"240","L7854",TRUE
"189",50.03,22,"240","L7869",TRUE
"190",50.34,21.94,"240","L7874",TRUE
"191",50.66,21.04,"240","L7876",TRUE
"192",50.8,23.03,"240","L7879",TRUE
"193",29.55,118.94,"241","L0358",TRUE
"194",43.29,-79.85,"254","L3277",TRUE
"195",51.46,19.95,"255","L7889",TRUE
"196",-23.62,-47.36,"265","L0075",TRUE
"197",-22.55,-48.42,"265","L0080",TRUE
"198",35.52,-76.11,"266","L0711",TRUE
"199",31.12,120.97,"279","L0413",TRUE
"200",42.07,-81.34,"290","L2052",TRUE
"201",43.05,-87.88,"292","L2711",TRUE
"202",43.19,-87.67,"292","L2711",TRUE
"203",42.69,-76.92,"306","L3049",TRUE
"204",42.79,-77.71,"306","L3094",TRUE
"205",42.88,-76.3,"306","L3137",TRUE
"206",42.88,-76.53,"306","L3140",TRUE
"207",43.09,-76.21,"306","L3217",TRUE
"208",43.12,-76.47,"306","L3230",TRUE
"209",43.63,-77.83,"306","L3277",TRUE
"210",43.83,-88.96,"306","L3577",TRUE
"211",44.91,-85.3,"306","L4503",TRUE
"212",45.54,-88.91,"306","L5376",TRUE
"213",29.19,112.57,"318","L0350",TRUE
"214",46.71,7.67,"320","L6698",TRUE
"215",46.73,7.97,"320","L6713",TRUE
"216",46.77,8.27,"320","L6749",TRUE
"217",46.81,9.26,"320","L6776",TRUE
"218",46.82,9.3,"320","L6784",TRUE
"219",46.91,6.86,"320","L6867",TRUE
"220",46.93,7.08,"320","L6887",TRUE
"221",47.04,8.19,"320","L7016",TRUE
"222",47.09,7.17,"320","L7055",TRUE
"223",47.09,8.08,"320","L7058",TRUE
"224",47.16,8.48,"320","L7081",TRUE
"225",47.14,8.15,"320","L7086",TRUE
"226",47.17,7.67,"320","L7100",TRUE
"227",47.19,8.35,"320","L7119",TRUE
"228",47.2,7.66,"320","L7121",TRUE
"229",47.2,8.26,"320","L7122",TRUE
"230",47.29,8.58,"320","L7146",TRUE
"231",47.27,8.5,"320","L7162",TRUE
"232",47.3,8.21,"320","L7167",TRUE
"233",47.29,13.87,"320","L7171",TRUE
"234",47.33,13.78,"320","L7188",TRUE
"235",47.35,8.68,"320","L7191",TRUE
"236",47.46,11.9,"320","L7264",TRUE
"237",47.5,13.55,"320","L7299",TRUE
"238",47.53,13.51,"320","L7322",TRUE
"239",47.53,12.22,"320","L7330",TRUE
"240",47.58,13.66,"320","L7358",TRUE
"241",47.6,14.03,"320","L7390",TRUE
"242",47.61,12.16,"320","L7406",TRUE
"243",47.63,13.87,"320","L7433",TRUE
"244",47.64,13.79,"320","L7451",TRUE
"245",47.64,13.93,"320","L7454",TRUE
"246",47.65,12.32,"320","L7460",TRUE
"247",47.67,11.89,"320","L7484",TRUE
"248",47.68,12.56,"320","L7504",TRUE
"249",47.69,14.29,"320","L7509",TRUE
"250",47.72,11.86,"320","L7538",TRUE
"251",47.73,11.73,"320","L7541",TRUE
