Lat,Lon,lagoslakeid,nhd_lat,nhd_long,elevation_m,sampleyear,samplemonth,chla,tn,tp,doc,secchi,meandepth,maxdepth,LakeID
39.52,-91.84,6072,39.51673,-91.835996,184.6970062,2006,7,27.8,660,36,NA,1,NA,NA,L1374
41.34,-72.49,68485,41.340003,-72.488615,53.93500137,1990,8,5.6,NA,2,NA,1.6,NA,4.6,L2135
41.43,-94.78,4606,41.425771,-94.776201,389.4853821,2001,6,30.11,1539.8,37.26,NA,1.3,3.77,8.53,L2210
41.49,-73.35,6902,41.488742,-73.345531,60.06599808,2000,6,1.2,NA,NA,NA,NA,NA,27.4,L2220
41.67,-87.53,6450,41.665245,-87.53307,177.5930023,2006,5,2.42,NA,11,NA,1.2192,2.1031,5.4864,L2377
41.75,-70.91,2212,41.745765,-70.911956,12.52999973,2000,7,4.1,NA,70,NA,1.05,NA,2.8,L2429
41.88,-70.71,1579,41.876637,-70.707644,29.71999931,2000,7,8.7,NA,11,NA,2.3,NA,3,L2525
41.96,-74.24,115040,41.962192,-74.241976,179.5769958,1989,5,9.36,NA,25,NA,1.5,16.7,32.9,L2611
42.2,-71.91,3872,42.197987,-71.907733,213.8200073,1999,8,17,NA,35,NA,2.2,NA,4.3,L2757
42.56,-71.68,406,42.555909,-71.68478,90.26200104,2003,9,13.4,NA,NA,NA,3.8,NA,NA,L2973
42.82,-75.01,7090,42.815729,-75.006448,385.4620056,1989,7,5.66,NA,12,NA,2.82,NA,16.8,L3113
43.07,-89.36,4559,43.068029,-89.360153,256.9979858,2005,6,85.4,NA,134,NA,1.4478,8.2,22.5,L3207
43.12,-76.48,6747,43.124705,-76.480529,113.534996,1988,7,56.2,NA,34,NA,1.25,NA,NA,L3230
43.29,-89.66,3204,43.29047,-89.664094,260.2479858,2013,7,210,NA,327,NA,0.19,NA,1.524,L3310
43.38,-72.06,5895,43.378543,-72.055511,332.8919983,1986,8,0.3,NA,2,NA,NA,11.6,33.7,L3366
43.52,-70.86,8247,43.521588,-70.862985,145.5299988,1977,9,3.3,NA,2,NA,8.7,5.1816,29.8704,L3432
44.14,-69.49,7726,44.139159,-69.491527,16.29199982,1979,9,3.9,NA,10,NA,5.3,9.144,34.7472,L3798
44.17,-70.1,7575,44.169836,-70.095874,74.50999451,1977,8,30.6,NA,63,NA,1.2,4.2672,5.7912,L3800
44.31,-69.94,7834,44.307147,-69.942965,52.19700241,1977,9,5.6,NA,5,NA,9.1,7.62,16.4592,L3923
44.29,-69.38,8456,44.290714,-69.375771,97.88847351,1979,9,2.1,NA,8,NA,7,4.8768,10.9728,L3925
44.32,-70.09,8483,44.32274,-70.088936,81.86100006,1977,9,12.8,NA,NA,NA,NA,4.8768,11.5824,L3959
44.33,-69.66,7664,44.325325,-69.659651,55.56027603,1977,8,3.3,NA,11,NA,5,6.096,14.9352,L3960
44.33,-68.26,1023,44.331243,-68.255282,82.66000366,1981,9,0.6,NA,3,NA,14.5,25.6032,45.72,L3977
44.38,-69.97,7467,44.381134,-69.968616,65.32700348,1978,6,2.4,NA,NA,NA,5.7,9.144,39.0144,L3987
44.44,-69.56,8339,44.437421,-69.558172,59.48400116,1978,8,2.9,NA,NA,NA,5.6,8.5344,25.908,L4067
44.43,-70.02,7631,44.433441,-70.023638,96.75800323,1979,9,1.9,NA,4,NA,5.8,6.4008,35.6616,L4076
44.48,-69.78,8506,44.483111,-69.783413,71.10800171,1977,9,2.5,NA,NA,NA,5.5,10.0584,34.4424,L4103
44.54,-69.78,8322,44.540447,-69.775108,84.2440033,1977,8,2.3,NA,19,NA,5.3,7.0104,17.3736,L4127
44.53,-69.86,7811,44.526997,-69.864218,75.40399933,1980,9,3.5,NA,NA,NA,NA,10.668,32.3088,L4131
44.6,-68.56,7862,44.59774,-68.555739,73.00899506,1981,8,2.2,NA,6,NA,7,11.8872,37.7952,L4167
44.62,-69.84,7733,44.623426,-69.84337,77.2338028,1978,8,2.7,NA,NA,NA,4.3,3.9624,6.096,L4189
44.64,-68.49,7860,44.643596,-68.493533,48.61000061,1981,8,1.7,NA,4,NA,6.9,13.4112,51.816,L4201
44.93,-70.8,8023,44.927042,-70.799637,445.7960205,1982,8,2.1,NA,4,NA,7.4,18.288,40.2336,L4506
44.95,-70.69,8475,44.947214,-70.693328,462.5639954,1982,8,2.9,NA,6,NA,6.8,18.288,45.4152,L4551
44.95,-67.41,8138,44.94929,-67.409478,65.3259964,1979,9,2.6,NA,4,NA,7.2,7.3152,22.86,L4555
45.1,-70.72,7910,45.096964,-70.724434,542.1159668,1982,8,2.1,NA,5,NA,6,20.7264,35.3568,L4793
45.81,-89.75,2683,45.808363,-89.746034,480.0769958,1995,5,4.94,NA,10,NA,3.6576,NA,10.9728,L5621
45.86,-89.66,4390,45.858189,-89.663449,482.8169861,2003,8,2.83,NA,31,NA,2.4384,1.8288,3.6576,L5687
46.02,-89.91,3399,46.018057,-89.912361,488.0180054,1998,7,1.9,NA,NA,NA,NA,NA,6.7056,L5909
46.04,-89.67,4664,46.043693,-89.673305,491.6529846,2006,6,1.309,236.55,9.51,NA,4.71,14.9352,35.7,L5927
46.04,-89.63,4625,46.036814,-89.629758,494.0909729,2002,6,4.64,326,15,4.23,3.55,3.048,8,L5944
46.06,-89.85,4982,46.06466,-89.853019,490.7449951,1998,8,5.9,NA,NA,NA,NA,7.62,29.8704,L5974
46.06,-89.52,4021,46.064007,-89.522846,514.5109863,1999,10,6,NA,11,NA,3.9624,NA,8.2296,L5975
46.07,-89.8,5043,46.065212,-89.798036,488.0050049,1998,6,4.6,NA,NA,NA,NA,3.3528,7.9248,L5976
46.08,-89.51,32738,46.079843,-89.506275,505.67099,1998,7,2.2,NA,NA,NA,NA,2.7432,5.7912,L5986
46.1,-89.55,1384,46.098099,-89.551457,499.5809631,1998,7,5.4,NA,NA,NA,NA,NA,1.524,L6005
46.14,-89.55,1543,46.137669,-89.553216,500.4960022,1998,5,7.2,NA,NA,NA,NA,NA,4.572,L6046
46.18,-89.69,4075,46.182921,-89.692217,509.3000183,1998,7,2.9,NA,NA,NA,NA,NA,12.8016,L6108
46.2,-89.67,5538,46.199177,-89.672785,517.9000244,2002,5,1.46,NA,NA,5.94,NA,5.4864,14.6304,L6128
46.21,-89.79,3050,46.205134,-89.791795,500.1839905,2003,6,1.3,213,7,3.91,7,NA,18.288,L6136
47.02,-68.21,8319,47.024242,-68.21115,175.7229919,1980,8,7.4,NA,12,NA,4.6,4.8768,11.5824,L6997
48.53,-92.77,2814,48.525493,-92.770549,342.3380127,1991,9,2.5,486,NA,9.03,NA,NA,5.03,L7786
41.86,-71.9,9419,41.858469,-71.901303,76.2539978,1974,7,0.6,340,6,NA,6.3,NA,14.6,L8491
41.55,-72.23,123502,41.554306,-72.227883,133.8289948,1990,8,4,NA,11,NA,2,NA,2.7,L8495
41.48,-71.95,11222,41.484876,-71.946614,77.43600464,1989,9,1.2,NA,7,NA,NA,NA,3,L8497
41.54,-73.15,108867,41.535719,-73.153155,211.5670013,1974,6,3.2,480,9,NA,6.8,NA,19.8,L8510
39.61,-89.48,6967,39.60942,-89.475396,178.2059937,2000,8,45.5,NA,NA,NA,NA,4.572,12.192,L8577
43.39,-95.13,4686,43.389207,-95.133096,425.9179688,2001,6,1.96,1029,76.03,NA,7,11.48,39.62,L9069
44.47,-84.72,1362,44.471349,-84.72248,351.6608887,1999,5,1,NA,NA,NA,11.2776,NA,41.148,L9158
36.66,-93.2,6227,36.661942,-93.196415,213.2255096,1992,4,18.8,560,43,NA,1.07,NA,NA,
37.16,-90.79,6299,37.161005,-90.786942,150.605011,1994,4,14,630,28,NA,1.68,NA,9.14,
39.08,-92.31,93443,39.076297,-92.305464,218.5005188,1989,5,4,720,25,NA,1,NA,4.6,
39.15,-91.89,6184,39.154463,-91.89305,241.4039917,2003,6,137,1800,68,NA,0.33,NA,NA,
39.19,-92.21,6217,39.1925,-92.207744,250.525238,2000,6,7.4,0,0,NA,1.6,NA,7.7,
39.24,-89.85,6994,39.242611,-89.852083,173.0019989,2002,6,50.4,NA,220,NA,0.2032,2.4994,4.572,
39.31,-92.52,6223,39.306367,-92.518623,264.2810059,1992,6,1.3,970,22,NA,1.83,NA,NA,
39.37,-90.05,7398,39.369031,-90.053872,172.8670044,2000,10,126,NA,159,NA,0.2032,3.048,5.4864,
39.42,-89.9,7042,39.419698,-89.903259,188.8539886,2000,10,29.2,NA,189,NA,0.6096,6.0046,15.24,
39.44,-89.96,7041,39.443928,-89.962997,195.5539856,2004,4,2.07,NA,105,NA,0.9144,4.572,10.668,
39.46,-87.2,1569,39.457643,-87.196839,203.8040161,2001,8,0.12,NA,23,NA,6.9,NA,18,
39.46,-87.2,2942,39.460544,-87.195679,202.3730621,2001,8,0.12,NA,16,NA,5.1,NA,15.8,
39.61,-90.01,7012,39.605053,-90.013487,189.8739929,2003,8,127,NA,158,NA,0.3048,1.9812,3.6576,
39.67,-90.2,7010,39.670156,-90.195176,195.8789978,2005,4,31.5,NA,16,NA,0.5588,3.9014,10.9728,
39.71,-89.63,6966,39.714105,-89.627602,170.2740021,2002,8,180,NA,259,NA,0.381,3.81,8.8392,
39.98,-75.58,6918,39.984246,-75.578617,125.8275375,2001,5,10,2240,20,NA,1.8,NA,NA,
40,-91.5,56805,40.004511,-91.504034,142.6907806,1978,7,40.9,NA,78,NA,0.5,NA,NA,
40,-75.86,7094,40.002897,-75.857136,147.1604919,2001,5,2.5,3200,20,NA,4,NA,NA,
40.07,-75.72,7157,40.070203,-75.722512,109.194603,2001,6,300,760,14,NA,6,NA,2.4384,
40.12,-88.92,6988,40.121362,-88.923493,210.5429993,2006,5,126,NA,59,NA,0.6858,3.1394,8.5344,
