Lat,Lon,lagoslakeid,nhd_lat,nhd_long,elevation_m,sampleyear,samplemonth,chla,tn,tp,doc,secchi,meandepth,maxdepth,LakeID
40.17,-87.64,7003,40.17496,-87.643106,176.4359894,2001,4,25.8,NA,91,NA,NA,2.7737,6.6446,
40.43,-91.16,6993,40.425608,-91.155106,193.5039978,2006,4,7.11,NA,49,NA,0.4572,2.6213,5.7912,
40.45,-92.21,107503,40.446367,-92.205002,219.1380005,1989,6,24,1130,70,NA,0.6,NA,8.6,
40.46,-90.79,6992,40.455632,-90.790956,186.1599884,2005,5,31.6,NA,18,NA,0.5588,5.334,11.5824,
40.51,-90.73,6991,40.509111,-90.733611,199.2789917,2003,6,125,NA,99,NA,0.3048,3.1699,8.5344,
40.57,-78.77,6811,40.56963,-78.7748,561.4797363,2001,5,5,3390,10,NA,2.3,NA,NA,
40.63,-91.75,4624,40.629096,-91.752853,167.0299988,2001,5,1.82,626.4,59.01,NA,3,1.58,2.44,
40.71,-94.69,4799,40.714199,-94.691178,348.3503723,2001,6,29.1,1919.5,111.11,NA,0.7,2.52,4.88,
40.71,-93.4,4886,40.710152,-93.398892,318.7790222,2001,5,5.7,5496.7,447.45,NA,0.1,1.64,4.27,
40.71,-91.97,5314,40.708892,-91.970986,191.1100006,2001,5,3.62,663.7,190.87,NA,0.45,3.56,8.53,
40.71,-91.44,4478,40.713259,-91.437856,213.3600006,2001,5,5.85,840.8,47.37,NA,1.6,3.71,9.14,
40.77,-93.78,4652,40.774466,-93.778273,313.0455017,2001,5,5.75,1539.9,94.65,NA,1,4.36,12.19,
40.77,-73.02,56155,40.771634,-73.021642,3.378999949,1999,6,2.1,NA,NA,NA,1.6,NA,NA,
40.79,-73.02,7291,40.788099,-73.021167,6.979000092,1990,7,3.72,NA,25,NA,1.25,0.9,1.65,
40.82,-92.58,4632,40.815148,-92.582841,240.2053986,2001,5,5.58,704.6,90.92,NA,1.45,3.94,10.36,
40.83,-73.12,36291,40.827474,-73.122709,16.47900009,1999,9,17.9,NA,300,NA,NA,NA,19.8,
40.84,-72.92,108911,40.835857,-72.923793,8.784000397,2010,9,16,NA,NA,NA,2.1,NA,2.1,
40.88,-72.93,102711,40.88353,-72.931824,13.99900055,2009,6,3.7,NA,NA,NA,1.4,NA,3,
40.92,-72.41,6405,40.918171,-72.408429,2.420000076,1989,7,1.79,NA,15,NA,1.23,3,6.4,
40.94,-78.55,6649,40.937716,-78.552434,354.6032104,1999,4,5.3,910,22,NA,2.4,NA,NA,
40.95,-78.91,7235,40.949555,-78.909263,417.5303955,1999,4,8,2700,32,NA,0.9,NA,NA,
40.98,-72.56,66535,40.978966,-72.557285,1.513000011,1999,6,0.8,NA,NA,NA,3,NA,13,
40.99,-72.52,73671,40.993122,-72.524027,0.612999976,1999,6,26.4,NA,400,NA,0.9,NA,NA,
41,-93.27,4962,40.996927,-93.273557,297.4299622,2001,5,6.41,637,37.75,NA,0.9,4.44,12.19,
41.01,-92.43,5487,41.011625,-92.426439,192.0370026,2001,5,116.91,2814.4,392.93,NA,0.35,1.7,3.66,
41.03,-93.74,4440,41.033908,-93.742989,320.7016296,2001,5,15.23,2435.9,369.59,NA,0.4,2.13,3.96,
41.04,-93.81,4653,41.035373,-93.814809,326.9356079,2001,6,27.66,2496.5,183.23,NA,1.5,4.29,9.75,
41.04,-71.95,106857,41.039094,-71.952435,0.611999989,1999,6,6.4,NA,NA,NA,1.3,NA,NA,
41.06,-72.34,79021,41.057106,-72.336327,0.914000034,2009,7,12.3,NA,NA,NA,2.3,NA,13.1,
41.07,-75.17,77924,41.067802,-75.16607,271.3024597,1986,9,3.62,NA,NA,NA,NA,4.3,11.3,
41.08,-71.91,100675,41.07804,-71.910069,0.611999989,2003,6,10.6,NA,NA,NA,1.4,NA,NA,
41.09,-93.21,4312,41.093544,-93.214432,286.8187561,2002,6,5.19,4328.3,175,NA,0.45,2.48,5.49,
41.19,-91.9,4936,41.19476,-91.896266,200.2276001,2001,7,27.78,3772,109.82,NA,1,2.71,7.32,
41.28,-93.59,5541,41.275271,-93.588589,268.2624207,2001,5,0.67,2389.6,164.27,NA,0.75,2.6,5.8,
41.28,-80.18,7417,41.281537,-80.183132,359.0367737,1997,4,20,1560,26,NA,1.5,3.4839,NA,
41.29,-92.54,5175,41.291019,-92.541016,226.4700012,2001,5,4.59,1624.1,45.38,NA,2,3.07,6.71,
41.29,-75.24,42761,41.293123,-75.237541,520.4216309,1986,9,4.49,NA,NA,NA,NA,1.1,4,
41.33,-72.2,120319,41.328001,-72.198216,1.215999961,1979,8,2,400,12,NA,4,NA,14.6,
41.36,-76.32,88483,41.356295,-76.318154,689.4489136,1986,9,0.63,NA,NA,NA,NA,1.8,4.3,
41.36,-72.3,65421,41.359247,-72.303032,10.66200066,1978,7,4,410,13,NA,4,NA,18.3,
41.37,-72.23,120325,41.37293,-72.231579,18.89622116,1974,7,14.3,760,15,NA,2.5,NA,10.4,
41.38,-76.62,7279,41.383539,-76.620731,476.8165588,2000,8,1.8,240,30,NA,3.85,NA,NA,
41.38,-75.5,7129,41.380938,-75.504014,454.6489563,1999,4,9.6,560,28,NA,2,NA,13.716,
41.39,-72.7,130003,41.389486,-72.699343,56.39199829,1980,7,5,265,13,NA,4.4,NA,14.6,
41.39,-72.3,54074,41.386157,-72.301933,29.27400017,1980,7,3,295,12,NA,3,NA,9.1,
41.4,-75.19,6785,41.397977,-75.186315,463.3112488,2001,4,10,430,20,NA,2.3,NA,NA,
41.4,-72.5,126926,41.401447,-72.499518,73.16177368,1985,10,12,NA,NA,NA,2.3,NA,12.2,
41.4,-71.6,7960,41.400315,-71.598018,21.01000023,2009,4,0.821794973,NA,NA,NA,2.6,NA,3,
41.41,-93.08,5162,41.407534,-93.075719,227.6692047,2001,6,17.44,6955.2,152.6,NA,1.5,5.34,15,
41.41,-73.21,7429,41.411956,-73.208481,30.49100113,1974,7,103,1090,77,NA,1,NA,19.5,
41.42,-71.55,7592,41.415215,-71.545246,29.45999908,1989,6,0.595,NA,NA,NA,9.075,NA,13.6,
41.42,-71.55,8272,41.422103,-71.552093,28.29999924,1991,5,3.78,NA,15,NA,NA,NA,9.8,
41.43,-90.83,6969,41.427572,-90.827264,187.694809,2004,5,58,NA,62,NA,0.4572,6.9494,17.6784,
41.43,-87.18,3916,41.428485,-87.176941,223.9120026,1995,7,58.06,NA,66,NA,0.4,4.6,6.1,
41.43,-75.52,6804,41.433167,-75.518192,606.6583862,2008,4,6.9,260,10,NA,3.6,NA,NA,
41.43,-71.63,7461,41.425872,-71.631065,26.72999954,1988,5,1.3,NA,NA,NA,0.5925,NA,5,
41.43,-71.49,7596,41.434603,-71.488531,5.949999809,1993,5,0.817535032,NA,NA,NA,4.65,NA,10,
41.44,-71.72,7545,41.442936,-71.718352,14.3701973,1988,5,0.625,NA,NA,NA,NA,NA,4.2,
41.44,-71.69,8271,41.441102,-71.690336,16.29000092,1988,5,2.61,NA,NA,NA,1.5375,NA,3,
41.44,-71.58,7969,41.439358,-71.57506,27.19000053,1988,5,3.37,NA,NA,NA,1,NA,1.9,
41.46,-73.52,69534,41.463099,-73.52352,236.3380127,1980,7,3,544,23,NA,2.5,NA,14.6,
41.46,-71.49,7462,41.458161,-71.493892,8.479999542,1992,5,1.92,NA,6,NA,2.8,NA,3,
41.47,-73.54,128893,41.467174,-73.540147,149.8594971,2003,8,49.6,NA,100,NA,0.9,NA,NA,
41.47,-71.67,8051,41.465371,-71.670348,17.12999916,2004,5,3.156705632,NA,NA,NA,NA,NA,NA,
41.49,-72.78,31086,41.486434,-72.779548,100.5820007,1979,9,57,1275,157,NA,1,NA,1.8,
41.49,-72.41,21595,41.491458,-72.413284,117.3470001,1980,7,2,193,5,NA,5.5,NA,13.7,
41.49,-71.87,6730,41.48928,-71.872739,91.90000153,2005,7,2.2,NA,NA,NA,NA,NA,7.9,
41.5,-87.06,2674,41.496042,-87.060909,251.4069977,2001,8,1.16,NA,84,NA,NA,NA,0.3,
41.5,-73.46,110940,41.501035,-73.455509,130.4839935,1974,7,2.4,440,15,NA,5.7,NA,24.4,
41.5,-71.56,8291,41.50215,-71.564772,34.97999954,1988,6,4.83,NA,NA,NA,2.025,NA,7.6,
41.51,-72.4,7114,41.506132,-72.404903,108.5239944,2007,7,13.8,334,NA,NA,NA,NA,3,
41.51,-71.77,7805,41.506471,-71.772257,97.44999695,2001,5,0.5682,NA,NA,NA,2.225,NA,NA,
41.51,-71.6,8294,41.509926,-71.604388,33.56999969,1988,5,0.99,NA,NA,NA,1.475,NA,2.8,
41.52,-96.02,4328,41.522196,-96.01668,301.5097961,2001,5,16.78,1365.9,78.75,NA,0.95,2.71,7.32,
41.52,-72.74,79983,41.524554,-72.744394,115.8289948,1979,8,10,450,17,NA,2.5,NA,6.4,
41.52,-71.77,7463,41.516151,-71.771607,92.77999878,2003,5,1.128542569,200,6,NA,3.625,NA,7,
41.52,-71.72,8286,41.516009,-71.720839,28.29000092,1988,5,4.86,NA,32,NA,1.875,NA,4,
41.52,-71.7,8277,41.51972,-71.696924,29.36000061,1994,4,1.104195652,NA,NA,NA,3.55,NA,3.6,
41.53,-87.27,1254,41.5278,-87.271298,184.2999878,1995,7,65.21,NA,173,NA,0.4,1.5,2.7,
41.55,-75.59,7344,41.552628,-75.594453,484.2767944,1999,4,3.1,540,18,NA,5.5,NA,NA,
41.55,-74.1,7039,41.548739,-74.103579,148.4400024,1994,7,74.5,NA,48,NA,0.7,2.5,4,
41.56,-71.88,40534,41.561234,-71.882091,55.81300354,1980,8,9,396,19,NA,2,NA,5.5,
41.57,-74.07,118204,41.565602,-74.068996,137.8400116,2004,5,2.9,NA,NA,NA,NA,NA,8.6,
41.57,-72.95,20565,41.567704,-72.951907,205.1630096,1979,8,12,538,22,NA,2,NA,NA,
41.58,-75.46,6871,41.576544,-75.455885,526.8002319,1999,4,1.7,260,15,NA,5,NA,NA,
41.58,-72.77,6817,41.579737,-72.772965,45.43500137,2003,6,6.7,769,NA,NA,NA,NA,4.9,
41.59,-75.53,6925,41.590544,-75.534059,527.7563477,1999,4,2,500,25,NA,3,NA,NA,
41.59,-73.13,69532,41.585108,-73.130239,201.1970062,1980,8,24,1020,32,NA,1.3,NA,5,
41.6,-71.93,99638,41.603053,-71.932072,44.23300171,1989,9,3.7,NA,11,NA,NA,NA,4.6,
41.61,-73.92,62330,41.60558,-73.916516,25.64752197,1988,4,7.4,NA,NA,2.6,1.5,NA,4,
41.63,-71.98,7195,41.629771,-71.977092,29.3029995,2000,5,5.9,NA,NA,NA,NA,NA,NA,
41.64,-71.16,7598,41.640484,-71.156263,62.23899841,1992,7,9.9,NA,NA,NA,NA,NA,7.3,
41.68,-73.48,6841,41.684411,-73.478244,117.6389999,2007,9,44.4,1329,NA,NA,NA,NA,3.7,
41.69,-72.48,131078,41.694184,-72.48152,211.272995,1996,5,8.3,NA,7,NA,NA,NA,3.7,
41.69,-70.01,134198,41.694357,-70.007257,3.810000181,1986,8,1.41,NA,NA,NA,NA,7.2,16,
41.7,-73.28,13270,41.700656,-73.278097,267.6630249,1979,8,5,275,11,NA,4.5,NA,13.7,
41.71,-74.29,131019,41.70638,-74.29076,570.3909912,1988,8,0.4,NA,NA,0.1,10,NA,24.5,
41.71,-70.11,42671,41.705388,-70.110089,8.720000267,1986,8,1.37,NA,NA,NA,NA,1.3,3,
41.73,-74.24,123518,41.725367,-74.235458,502.6600037,1988,4,0.9,NA,NA,0.8,11.5,NA,19,
41.73,-73.42,109899,41.730172,-73.418447,355.4390259,1999,6,3.17,350,12,NA,4.29,NA,10.1,
41.73,-70.9,1692,41.734135,-70.902051,12.55000019,2000,8,7.4,NA,28,NA,1.8,NA,4.57,
41.74,-75.27,6939,41.742407,-75.272333,431.6973572,2001,4,9.5,460,10,NA,2.5,NA,NA,
41.74,-70.9,1843,41.741427,-70.90304,13.35000134,2000,8,35.6,NA,16,NA,2.1,NA,2.13,
41.75,-75.21,7281,41.753326,-75.208528,424.3029175,2001,4,40,650,30,NA,1.5,NA,NA,
41.76,-70.85,43705,41.757676,-70.852598,17.42000008,1986,8,2.34,NA,NA,NA,NA,2.4,7.9,
41.77,-93.74,4363,41.76569,-93.744413,254.6052704,2001,5,0.67,10929,171.55,NA,2.15,4.74,12.98,
41.79,-70.92,136194,41.792908,-70.915941,15.09000015,1986,8,1.91,NA,NA,NA,NA,NA,NA,
41.8,-70.61,106783,41.804796,-70.612362,14.40999985,1986,8,5.62,NA,NA,NA,NA,2.5,5.8,
41.8,-70.6,87317,41.796383,-70.603265,14.11999893,1986,8,2.58,NA,NA,NA,NA,2.1,4.9,
41.81,-93.75,4494,41.81434,-93.748358,280.2364197,2001,5,2.48,7012.7,80.21,NA,3,5.5,15.24,
41.81,-73.24,18421,41.814005,-73.239287,376.2019958,1989,8,0.5,NA,8,NA,1.8,NA,3,
41.82,-70.75,1077,41.818998,-70.754885,19.68118668,2000,7,1,NA,100,NA,NA,NA,0.9,
41.83,-87.84,6544,41.832985,-87.840525,185.7899933,2000,11,3.83,NA,39,NA,3.4036,2.1031,3.871,
41.85,-89.97,7026,41.84532,-89.965814,201.4609985,2004,5,2.62,NA,23,NA,2.4892,3.3223,8.2296,
41.86,-75.63,42790,41.862032,-75.627715,491.9411011,1986,9,83.06,NA,NA,NA,NA,NA,NA,
41.87,-71.35,8282,41.871061,-71.345847,17.77000237,1993,5,8.450128205,NA,NA,NA,NA,NA,1.5,
41.89,-73.82,81032,41.885815,-73.815694,104.9399948,2003,6,3.8,NA,NA,NA,3.25,NA,NA,
41.89,-70.69,9442,41.885739,-70.694317,32.45000076,1986,8,1.16,NA,NA,NA,NA,3.2,5.8,
41.91,-70.7,123470,41.910588,-70.704735,34.65000153,1986,8,4.48,NA,NA,NA,NA,0.7,4,
41.92,-73.16,91454,41.917262,-73.155245,380.5120239,1989,8,2.5,NA,1,NA,NA,NA,4.9,
41.92,-70.71,107810,41.921576,-70.706181,35.49000168,1986,8,5.4,NA,NA,NA,NA,2,5.2,
41.96,-73.22,18430,41.958545,-73.222253,404.2820129,1980,8,9,281,11,NA,2.5,NA,4.6,
41.97,-74.15,39489,41.97365,-74.150688,179.5769958,1989,5,0.98,NA,11,NA,1,15.6,56.2,
41.97,-73.67,6440,41.971467,-73.673656,137.3080139,2007,7,2.56,450,12,NA,3,3.5,7.5,
41.98,-73.67,31102,41.979771,-73.671487,138.1539917,2003,8,2.4,NA,NA,NA,2.35,NA,NA,
41.98,-73.5,18426,41.977254,-73.504645,239.9700012,1983,8,13.9,NA,NA,NA,2.1,NA,3,
41.99,-93.36,4648,41.988137,-93.356771,295.7149963,2001,6,26.6,13463,98.29,NA,1.6,4.85,10.67,
42.03,-73.19,121398,42.026497,-73.192947,420.1440125,1990,8,1.8,NA,6,NA,1.7,NA,1.8,
42.05,-90.14,4476,42.050534,-90.135323,178.1804657,2001,7,35.22,1055.1,84.06,NA,0.6,1.4,4.2672,
42.05,-72.75,9,42.04511,-72.753502,69.58300018,2001,6,2.6,NA,17,NA,4.6,NA,12.2,
42.06,-71.35,41,42.062381,-71.349785,60.16500092,2002,8,19.4,NA,17,NA,2.4,3.7,10.4,
42.06,-70.83,30,42.05584,-70.825842,16.59000015,2003,9,96,NA,NA,NA,0.8,1.5,2.7,
42.07,-73.59,24871,42.069846,-73.591344,152.4769897,1996,7,9.3,NA,NA,NA,0.7,NA,9.8,
42.07,-71.91,3745,42.066294,-71.90739,154.7830048,1999,7,3,NA,21,NA,0.8,NA,1,
42.08,-73.59,48885,42.07924,-73.594126,152.7769928,1996,10,25.2,NA,NA,NA,1.8,NA,7,
42.09,-73.71,7061,42.087724,-73.70821,198.7709961,1995,5,7.96,NA,17,NA,2.2,NA,13.7,
42.11,-79.73,6408,42.106075,-79.726181,432.0550232,1986,6,2.22,NA,26,NA,3,3.3,11.7,
42.12,-94.02,4955,42.119726,-94.020283,324,2001,5,0.99,14922.3,203.41,NA,0.95,5.15,13.72,
42.12,-73.56,6944,42.118904,-73.555705,161.5769958,1989,7,27.8,NA,35,NA,2.36,4,9,
42.13,-72.19,3267,42.134836,-72.194138,201.8099976,1999,8,1,NA,19,NA,2.1,NA,3.4,
42.14,-73.6,7339,42.144158,-73.595613,217.7009888,1986,7,14.4,NA,50,NA,0.88,4.9,10,
42.19,-74.13,120368,42.192032,-74.12915,565.8109741,2005,6,3.6,200,NA,NA,1.1,NA,1.1,
42.19,-72.07,37,42.194397,-72.068994,182.8040009,2003,8,35.1,NA,NA,NA,1.4,1.8,3.7,
42.2,-74.04,31111,42.19818,-74.042248,649.0050049,2005,6,2.9,100,NA,NA,2.8,NA,3.5,
42.23,-71.58,21,42.228292,-71.576596,101.288002,2001,6,2,NA,23,NA,3.15,1.8,9.8,
42.24,-74.12,109925,42.23574,-74.11933,624.6049805,2005,6,2.1,100,NA,NA,1.7,NA,1.7,
42.24,-71.47,66421,42.239787,-71.465225,66.27100372,1986,9,5.56,NA,NA,NA,NA,6.4,14.3,
42.33,-74.96,121468,42.325572,-74.964499,624.6660156,2009,8,23.5,NA,100,NA,NA,NA,10,
42.35,-77.71,46877,42.34574,-77.712655,379.9067993,2007,6,6.4,NA,100,NA,0.5,NA,4.57,
42.36,-74.44,49938,42.362418,-74.442637,344.2420044,1989,5,0.24,NA,40,NA,0.5,18.1,46.5,
42.36,-73.61,79999,42.364165,-73.607638,121.7259979,2003,7,5,NA,NA,NA,1.45,NA,NA,
42.39,-73.9,7154,42.390943,-73.895492,199.3840027,2008,7,37.18,930,55,NA,1.35,3.5,7.5,
42.4,-76.51,86564,42.399738,-76.511716,291.5250244,1984,4,1.6,NA,NA,NA,0.5,NA,6.5,
42.41,-90.34,6435,42.406736,-90.338964,216.3600006,2006,5,12.5,NA,NA,NA,NA,6.096,18.288,
42.42,-74.56,74719,42.415311,-74.563513,530.2520142,2010,8,8.1,NA,100,NA,0.32,NA,2.3,
42.45,-95.8,4292,42.447658,-95.801247,340.4579773,2001,5,0.77,609.9,15.38,NA,4.9,3.14,8.84,
