StudyID,PI,Layer,Method,surveyType,surveyLocation
1,AS,undescribed,spectrophotometer,in situ,undescribed
2,OM,integrated water sample,undescribed,undescribed,integrated
12,OM,integrated water sample,spectrophotometer,in situ,integrated
13,AF,0.2 m,radiometer,in situ,surface
14,AF,surface water sample ,spectrophotometer,in situ,surface
19,AS,surface water sample ,ysi sensors,in situ,surface
20,AS,undescribed,spectrophotometer,in situ,undescribed
22,AS,surface water sample ,undescribed,undescribed,surface
26,AF,Not described,Not described,not described,not described
29,OM,integrated water sample,fluorometer,in situ,integrated
33,AS,5-7m,spectrophotometer,in situ,specific depth
42,AS,surface water sample ,calibrated electrodes - multiparameter meter,in situ,surface
53,AF,integrated water sample,spectrophotometer,in situ,integrated
54,AS,subsurface water sample,Nusch method ,in situ,specific depth
55,AF,Not described,fluorometer,in situ,not described
56,AS,undescribed,multiparameter probe,in situ,undescribed
59,AS,surface water sample ,undescribed,undescribed,surface
65,AS,undescribed,modelled,modelled,undescribed
70,AS,surface water sample ,spectrophotometer,in situ,surface
72,AS,integrated water sample,spectrophotometer,in situ,integrated
74,AF,integrated water sample,fluorometer,in situ,integrated
78,AF,Not described,modelled,modelled,not described
79,OM,1-3m,undescribed,undescribed,specific depth
82,OM,undescribed,modelled,modelled,undescribed
89,AS,undescribed,modelled,modelled,undescribed
93,AS,undescribed,modelled,modelled,undescribed
104,AF,surface water sample ,spectrophotometer,in situ,surface
108,OM,surface water sample ,undescribed,undescribed,surface
116,AF,Not described,spectrophotometer,in situ,not described
118,AS,undescribed,multiparameter probe,in situ,undescribed
119,AS,undescribed,modelled,modelled,undescribed
120,OM,surface water sample ,spectrophotometer,in situ,surface
122,AS,undescribed,trichromatic method,in situ,undescribed
127,AF,surface water sample ,spectrophotometer,in situ,surface
133,AS,undescribed,modelled,modelled,undescribed
140,AS,surface water sample ,spectrophotometer,in situ,surface
146,AS,undescribed,spectrophotometer,in situ,undescribed
147,AS,epilimnion ,spectrophotometer,in situ,specific depth
148,AS,undescribed,satellite,modelled,undescribed
149,AS,surface water sample ,spectrophotometer,in situ,surface
155,AF,Not described,fluorometer,in situ,not described
156,AS,integrated water sample,fluorometer,in situ,integrated
165,AS,undescribed,undescribed,undescribed,undescribed
176,AS,undescribed,undescribed,undescribed,undescribed
181,OM,surface water sample ,fluorometer,in situ,surface
183,OM,integrated water sample ,spectrophotometer,in situ,integrated
195,AF,integrated water sample,spectrophotometer,in situ,integrated
199,AS,undescribed,spectrophotometer,in situ,undescribed
205,OM,surface water sample ,undescribed,undescribed,surface
212,OM,undescribed,undescribed,undescribed,undescribed
218,AS,undescribed,spectrophotometer,in situ,undescribed
223,OM,undescribed,modelled,modelled,undescribed
225,AS,0-30m,multiparameter probe,in situ,integrated
226,OM,surface water sample ,undescribed,undescribed,surface
227,OM,integrated water sample,fluorometer,in situ,integrated
228,OM,1.5m,undescribed,undescribed,specific depth
229,OM,undescribed,modelled,modelled,undescribed
235,OM,surface water sample ,spectrophotometer,in situ,surface
239,AS,undescribed,undescribed,undescribed,undescribed
240,OM,surface water sample ,spectrophotometer,in situ,surface
241,AS,undescribed,fluorometer,in situ,undescribed
254,AS,24m below water surface,undescribed,undescribed,specific depth
255,AS,undescribed,undescribed,undescribed,undescribed
265,AF,Not described,undescribed,undescribed,not described
266,OM,surface water sample ,fluorometer,in situ,surface
279,AS,undescribed,environmental quality standards for surface water of the People?s Republic of China,undescribed,undescribed
290,OM,undescribed,undescribed,undescribed,undescribed
292,OM,surface water sample ,spectrophotometer,in situ,surface
306,AF,integrated water sample,fluorometer,in situ,integrated
318,OM,surface water sample ,undescribed,undescribed,surface
320,AF,integrated water sample,fluorometer,in situ,integrated
323,OM,integrated water sample,spectrophotometer,in situ,integrated
326,AS,undescribed,spectrophotometer,in situ,undescribed
327,AS,undescribed,not found,not described,undescribed
329,AS,undescribed,undescribed,undescribed,undescribed
331,AS,epilimnion ,fluorometer,in situ,specific depth
336,AS,undescribed,fluorometer,in situ,undescribed
342,OM,surface water sample ,spectrophotometer,in situ,surface
344,AS,1.5m below water surface,undescribed,undescribed,specific depth
345,OM,surface water sample ,undescribed,undescribed,surface
351,OM,surface water sample ,spectrophotometer,in situ,surface
352,AF,metadata,metadata,in situ,not described
353,OM,surface water sample ,spectrophotometer,in situ,surface
357,AS,surface water sample ,PMPL index,in situ,surface
359,AF,Not described,undescribed,undescribed,not described
362,AF,integrated water sample,spectrophotometer,in situ,integrated
367,AF,Not described,undescribed,undescribed,not described
370,OM,integrated water sample,spectrophotometer,in situ,integrated
385,AF,Not described,Enzyme kinetics equation,in situ,not described
388,AS,3m below water surface,multiparameter probe,in situ,specific depth
394,AF,surface water sample ,spectrophotometer,in situ,surface
401,AF,Not described,undescribed,undescribed,not described
411,AS,0.5m below water surface,undescribed,undescribed,surface
412,OM,undescribed,undescribed,undescribed,undescribed
417,AS,integrated water sample,spectophotometer,in situ,integrated
418,AS,undescribed,spectrophotometer,in situ,undescribed
425,AS,0-25m,fluorometer,in situ,integrated
446,OM,surface water sample ,spectrophotometer,in situ,surface
457,AS,undescribed,satellite,modelled,undescribed
470,AS,undescribed,arnon method,undescribed,undescribed
475,AF,surface water sample ,Multi-method,in situ,surface
478,OM,surface water sample ,fluorometer,in situ,surface
481,AS,2-4m,undescribed,undescribed,specific depth
491,AS,undescribed,spectrophotometer,in situ,undescribed
496,AS,2m below water surface,undescribed,undescribed,specific depth
501,AF,integrated water sample,colorimetric method,in situ,integrated
507,AF,integrated water sample,spectrophotometer,in situ,integrated
514,AF,integrated water sample,undescribed,undescribed,integrated
519,AF,integrated water sample,fluorometer,in situ,integrated
521,AF,0.2 m,fluorometer,in situ,surface
524,AF,integrated water sample,spectrophotometer,in situ,integrated
527,AS,undescribed,spectrophotometer,in situ,undescribed
530,AF,integrated water sample,spectrophotometer,in situ,integrated
535,OM,integrated water sample,undescribed,undescribed,integrated
537,OM,surface water sample ,undescribed,undescribed,surface
