uniqueID,LakeVolume,SurfaceArea.units,SurfaceArea.value,Depth.mean,Depth.max,Secchi,pH,LakeName,LakeCountry
V100014612,,km2,0.33,,12,,,St. Eloy les Mines,France
V100014613,,km2,0.14,,7,,,St.Remy,France
V100014614,,km2,0.025,,9,,,Super Besse,France
V100014615,,km2,0.05,,6,,,Tour d?ù®Auvergne,France
V100014616,,km2,0.03,,7.5,,,Vernet la Varenne,France
V100014617,,,,,,,,ngang,Chi
V100014627,,km2,580,15.4,31,,,Lake Geneva,Switzerland
V100014628,,km2,580,15.4,31,,,Lake Geneva,Switzerland
V100014629,,km2,580,15.4,31,,,Lake Geneva,Switzerland
V100014630,,km2,0.015,,2,,8.38,Lake Biguls,Brazil
V100014631,,km2,0.015,,2,,7.88,Lake Biguls,Brazil
V100014632,,km2,0.015,,2,,7.87,Lake Biguls,Brazil
V100014633,,km2,0.015,,2,,7.76,Lake Biguls,Brazil
V100014634,,km2,0.015,,2,,9.52,Lake Biguls,Brazil
V100014635,,km2,0.015,,2,,8.25,Lake Biguls,Brazil
V100014636,,km2,0.015,,2,,9.08,Lake Biguls,Brazil
V100014637,,km2,0.015,,2,,8.25,Lake Biguls,Brazil
V100014638,,km2,0.015,,2,,8.31,Lake Biguls,Brazil
V100014639,,km2,0.015,,2,,7.89,Lake Biguls,Brazil
V100014640,,km2,2338,1.9,,,8.52,Lake Taihu,Chi
V100014643,,,,,,1.6,8.52,Burro Lake,Argenti
V100014644,,,,,,7,9.38,Triunfo Lake,Argenti
V100014645,,,,,,1.4,8.43,Yalca Lake,Argenti
V100014646,,,,,,1.65,8.77,Burro Lake,Argenti
V100014647,,,,,,0.88,9.7,Triunfo Lake,Argenti
V100014648,,,,,,1.65,8.74,Yalca Lake,Argenti
V100014649,,,,,,,,Deer Creek,USA
V100014650,,,,,,,,East Canyon,USA
V100014651,,,,,,,,Echo,USA
V100014652,,,,,,,,Rockport,USA
V100014653,,,,,,,,Deer Creek,USA
V100014654,,,,,,,,East Canyon,USA
V100014655,,,,,,,,Echo,USA
V100014656,,,,,,,,Rockport,USA
V100014657,,,,,,,,Deer Creek,USA
V100014658,,,,,,,,East Canyon,USA
V100014659,,,,,,,,Echo,USA
V100014660,,,,,,,,Rockport,USA
V100014661,,,,,,,,Deer Creek,USA
V100014662,,,,,,,,East Canyon,USA
V100014663,,,,,,,,Echo,USA
V100014664,,,,,,,,Rockport,USA
V100014665,,,,,,,,Deer Creek,USA
V100014666,,,,,,,,East Canyon,USA
V100014667,,,,,,,,Echo,USA
V100014668,,,,,,,,Rockport,USA
V100014669,,,,,,,,Deer Creek,USA
V100014670,,,,,,,,East Canyon,USA
V100014671,,,,,,,,Echo,USA
V100014672,,,,,,,,Rockport,USA
V100014673,,,,,,,,Deer Creek,USA
V100014674,,,,,,,,East Canyon,USA
V100014675,,,,,,,,Echo,USA
V100014676,,,,,,,,Rockport,USA
V100014677,,,,,,,,Deer Creek,USA
V100014678,,,,,,,,East Canyon,USA
V100014679,,,,,,,,Echo,USA
V100014680,,,,,,,,Rockport,USA
V100014681,,,,,,,,Deer Creek,USA
V100014682,,,,,,,,East Canyon,USA
V100014683,,,,,,,,Echo,USA
V100014684,,,,,,,,Rockport,USA
V100014685,,,,,,,,Deer Creek,USA
V100014686,,,,,,,,East Canyon,USA
V100014687,,,,,,,,Echo,USA
V100014688,,,,,,,,Jordanelle,USA
V100014689,,,,,,,,Rockport,USA
V100014690,,,,,,,,Deer Creek,USA
V100014691,,,,,,,,East Canyon,USA
V100014692,,,,,,,,Echo,USA
V100014693,,,,,,,,Jordanelle,USA
V100014694,,,,,,,,Rockport,USA
V100014695,,,,,,,,Deer Creek,USA
V100014696,,,,,,,,East Canyon,USA
V100014697,,,,,,,,Echo,USA
V100014698,,,,,,,,Rockport,USA
V100014699,,,,,,,,Deer Creek,USA
V100014700,,,,,,,,East Canyon,USA
V100014701,,,,,,,,Echo,USA
V100014702,,,,,,,,Jordanelle,USA
V100014703,,,,,,,,Rockport,USA
V100014704,,,,,,,,Deer Creek,USA
V100014705,,,,,,,,East Canyon,USA
V100014706,,,,,,,,Echo,USA
V100014707,,,,,,,,Jordanelle,USA
V100014708,,,,,,,,Rockport,USA
V100014709,,,,,,,,Deer Creek,USA
V100014710,,,,,,,,East Canyon,USA
V100014711,,,,,,,,Echo,USA
V100014712,,,,,,,,Jordanelle,USA
V100014713,,,,,,,,Deer Creek,USA
V100014714,,,,,,,,East Canyon,USA
V100014715,,,,,,,,Echo,USA
V100014716,,,,,,,,Jordanelle,USA
V100014717,,,,,,,,Rockport,USA
V100014718,,,,,,,,Deer Creek,USA
V100014719,,,,,,,,East Canyon,USA
V100014720,,,,,,,,Echo,USA
V100014721,,,,,,,,Jordanelle,USA
V100014722,,,,,,,,Rockport,USA
V100014723,,,,,,,,Deer Creek,USA
V100014724,,,,,,,,East Canyon,USA
V100014725,,,,,,,,Echo,USA
V100014726,,,,,,,,Jordanelle,USA
V100014727,,,,,,,,Rockport,USA
V100014728,,,,,,,,Deer Creek,USA
V100014729,,,,,,,,East Canyon,USA
V100014730,,,,,,,,Echo,USA
V100014731,,,,,,,,Jordanelle,USA
V100014732,,,,,,,,Rockport,USA
V100014733,,,,,,,,Deer Creek,USA
V100014734,,,,,,,,East Canyon,USA
V100014735,,,,,,,,Echo,USA
V100014736,,,,,,,,Jordanelle,USA
V100014737,,,,,,,,Rockport,USA
V100014738,,,,,,,,Deer Creek,USA
V100014739,,,,,,,,East Canyon,USA
V100014740,,,,,,,,Echo,USA
V100014741,,,,,,,,Jordanelle,USA
V100014742,,,,,,,,Rockport,USA
V100014743,,,,,,,,Deer Creek,USA
V100014744,,,,,,,,East Canyon,USA
V100014745,,,,,,,,Echo,USA
V100014746,,,,,,,,Jordanelle,USA
V100014747,,,,,,,,Rockport,USA
V100014748,,,,,,,,Deer Creek,USA
V100014749,,,,,,,,East Canyon,USA
V100014750,,,,,,,,Jordanelle,USA
V100014751,,,,,,,,Rockport,USA
V100014752,,,,,,,,Deer Creek,USA
V100014753,,,,,,,,East Canyon,USA
V100014754,,,,,,,,Echo,USA
V100014755,,,,,,,,Jordanelle,USA
V100014756,,,,,,,,Rockport,USA
V100014757,,,,,,,,Deer Creek,USA
V100014758,,,,,,,,East Canyon,USA
V100014759,,,,,,,,Echo,USA
V100014760,,,,,,,,Jordanelle,USA
V100014761,,,,,,,,Rockport,USA
V100014762,,,,,,,,Deer Creek,USA
V100014763,,,,,,,,East Canyon,USA
V100014764,,,,,,,,Echo,USA
V100014765,,,,,,,,Jordanelle,USA
V100014766,,,,,,,,Rockport,USA
V100014767,,,,,,,,Deer Creek,USA
V100014768,,,,,,,,East Canyon,USA
V100014769,,,,,,,,Echo,USA
V100014770,,,,,,,,Jordanelle,USA
V100014771,,,,,,,,Rockport,USA
V100014772,,,,,,,,Deer Creek,USA
V100014773,,,,,,,,East Canyon,USA
V100014774,,,,,,,,Echo,USA
V100014775,,,,,,,,Jordanelle,USA
V100014776,,,,,,,,Rockport,USA
V100014777,,,,,,,,Deer Creek,USA
V100014778,,,,,,,,East Canyon,USA
V100014779,,,,,,,,Echo,USA
V100014780,,,,,,,,Jordanelle,USA
V100014781,,,,,,,,Rockport,USA
V100014782,,,,,,,,Rockport,USA
V100014783,,,,,,,,Lake Michigan,USA
V100014784,,,,,,,,Lake Michigan,USA
V100014785,,,,,,,,Lake Michigan,USA
V100014786,,,,,,,,Lake Michigan,USA
V100014787,,,,,,,,Lake Michigan,USA
V100014788,,km2,2238,1.9,,,,Taihu Lake,Chi
V100014789,,km2,760,3,,,,Chaohu Lake,Chi
V100014790,,km2,306,2.9,,,,Dianchi Lake,Chi
