uniqueID,ChlUnits,ChlValues
V100003687,mg/L,0
V100004388,mg/L,0
V100010483,mg/L,0
V100010499,mg/L,0
V100014503,mg/L,0
V100014510,mg/L,0
V100014511,mg/L,0
V100014513,mg/L,0
V100016835,mg/L,0
V100016836,mg/L,0
V100016845,mg/L,0
V100016851,mg/L,0
V100016858,mg/L,0
V100016859,mg/L,0
V100016860,mg/L,0
V100011890,mg/L,1.60E-07
V100011893,mg/L,4.32E-07
V100011887,mg/L,4.96E-07
V100011881,mg/L,6.54E-07
V100011868,mg/L,8.49E-07
V100011451,mg/L,9.81E-07
V100011761,mg/L,9.82E-07
V100011891,mg/L,9.93E-07
V100011201,mg/L,1.00E-06
V100011450,mg/L,1.00E-06
V100011491,mg/L,1.00E-06
V100011531,mg/L,1.00E-06
V100011574,mg/L,1.00E-06
V100011619,mg/L,1.00E-06
V100011663,mg/L,1.00E-06
V100011707,mg/L,1.00E-06
V100011760,mg/L,1.00E-06
V100011808,mg/L,1.00E-06
V100011838,mg/L,1.00E-06
V100011708,mg/L,1.02E-06
V100011532,mg/L,1.05E-06
V100011137,mg/L,1.06E-06
V100011575,mg/L,1.07E-06
V100011889,mg/L,1.10E-06
V100011267,mg/L,1.11E-06
V100011892,mg/L,1.12E-06
V100011342,mg/L,1.14E-06
V100011412,mg/L,1.14E-06
V100011894,mg/L,1.15E-06
V100011070,mg/L,1.16E-06
V100011620,mg/L,1.16E-06
V100011035,mg/L,1.17E-06
V100011870,mg/L,1.17E-06
V100011665,mg/L,1.18E-06
V100011381,mg/L,1.22E-06
V100011382,mg/L,1.22E-06
V100011576,mg/L,1.24E-06
V100011621,mg/L,1.26E-06
V100011709,mg/L,1.29E-06
V100011301,mg/L,1.33E-06
V100011492,mg/L,1.35E-06
V100011166,mg/L,1.36E-06
V100011241,mg/L,1.37E-06
V100011452,mg/L,1.38E-06
V100011104,mg/L,1.39E-06
V100011533,mg/L,1.40E-06
V100011414,mg/L,1.41E-06
V100011839,mg/L,1.44E-06
V100011105,mg/L,1.45E-06
V100010779,mg/L,1.46E-06
V100011413,mg/L,1.47E-06
V100011036,mg/L,1.53E-06
V100011895,mg/L,1.55E-06
V100011302,mg/L,1.58E-06
V100011869,mg/L,1.62E-06
V100011840,mg/L,1.63E-06
V100011138,mg/L,1.64E-06
V100010937,mg/L,1.66E-06
V100010972,mg/L,1.67E-06
V100011005,mg/L,1.67E-06
V100011239,mg/L,1.67E-06
V100011266,mg/L,1.67E-06
V100011762,mg/L,1.67E-06
V100011882,mg/L,1.69E-06
V100011240,mg/L,1.72E-06
V100011343,mg/L,1.77E-06
V100011493,mg/L,1.80E-06
V100011071,mg/L,1.84E-06
V100011664,mg/L,1.84E-06
V100011888,mg/L,1.91E-06
V100011303,mg/L,2.00E-06
V100011383,mg/L,2.03E-06
V100010903,mg/L,2.28E-06
V100011268,mg/L,2.35E-06
V100011883,mg/L,2.36E-06
V100011202,mg/L,2.39E-06
V100011344,mg/L,2.50E-06
V100011006,mg/L,2.57E-06
V100011810,mg/L,2.60E-06
V100010845,mg/L,3.60E-06
V100011167,mg/L,4.00E-06
V100010938,mg/L,4.61E-06
V100011809,mg/L,9.35E-06
V100014882,mg/L,1.00E-05
V100015453,mg/L,2.00E-05
V100006870,mg/L,3.00E-05
V100007583,mg/L,3.00E-05
V100007808,mg/L,3.00E-05
V100008353,mg/L,3.00E-05
V100008786,mg/L,3.00E-05
V100008819,mg/L,3.00E-05
V100014850,mg/L,3.27E-05
V100004382,mg/L,3.30E-05
V100015558,mg/L,4.50E-05
V100014849,mg/L,4.87E-05
V100014843,mg/L,5.28E-05
V100014593,mg/L,5.80E-05
V100010578,mg/L,6.67E-05
V100014592,mg/L,6.68E-05
V100015008,mg/L,6.92E-05
V100002577,mg/L,7.00E-05
V100015440,mg/L,7.00E-05
V100015690,mg/L,7.00E-05
V100015199,mg/L,8.00E-05
V100015441,mg/L,8.00E-05
V100014847,mg/L,8.40E-05
V100015449,mg/L,9.00E-05
V100015454,mg/L,9.00E-05
V100004033,mg/L,1.00E-04
V100010404,mg/L,1.00E-04
V100010425,mg/L,1.00E-04
V100010461,mg/L,1.00E-04
V100012954,mg/L,0.0001
V100016331,mg/L,1.00E-04
V100016337,mg/L,1.00E-04
V100016371,mg/L,1.00E-04
V100016374,mg/L,1.00E-04
V100016375,mg/L,1.00E-04
V100016837,mg/L,1.00E-04
V100004435,mg/L,0.000108
V100001917,mg/L,0.00011
V100014958,mg/L,0.00011
V100014844,mg/L,0.000111
V100003068,mg/L,0.000112686
V100015547,mg/L,0.000116429
V100001676,mg/L,0.000119
V100015092,mg/L,0.00012
V100003660,mg/L,0.0001216
V100004249,mg/L,0.000127
V100015530,mg/L,0.000127
V100015445,mg/L,0.00013
V100015527,mg/L,0.000138
V100001909,mg/L,0.00014
V100015245,mg/L,0.00014
V100015439,mg/L,0.00014
V100015486,mg/L,0.00014
V100004291,mg/L,0.000148
V100002813,mg/L,0.00015
V100015442,mg/L,0.00015
V100006951,mg/L,0.000151667
V100004433,mg/L,0.000155
V100014957,mg/L,0.00016
V100015427,mg/L,0.00016
V100015443,mg/L,0.00016
V100004376,mg/L,0.000165
V100015554,mg/L,0.000169286
V100006037,mg/L,0.00017
V100015526,mg/L,0.00017
V100004143,mg/L,0.000172
V100015436,mg/L,0.00018
V100011095,mg/L,0.000188889
V100015431,mg/L,0.00019
V100015447,mg/L,0.00019
V100004133,mg/L,0.000192
V100014842,mg/L,0.00019825
V100002594,mg/L,2.00E-04
V100002935,mg/L,2.00E-04
V100004100,mg/L,2.00E-04
V100004114,mg/L,2.00E-04
V100011164,mg/L,2.00E-04
V100011375,mg/L,2.00E-04
V100011376,mg/L,2.00E-04
V100011743,mg/L,2.00E-04
V100011757,mg/L,2.00E-04
V100015444,mg/L,2.00E-04
V100016862,mg/L,2.00E-04
V100015426,mg/L,0.00021
V100015448,mg/L,0.00021
V100015550,mg/L,0.000215
V100011159,mg/L,0.000218182
V100011572,mg/L,0.000218182
V100001700,mg/L,0.00022
V100003104,mg/L,0.000220699
V100004132,mg/L,0.000226
V100002585,mg/L,0.00023
V100015528,mg/L,0.000231818
V100014591,mg/L,0.0002352
V100014595,mg/L,0.0002355
V100002279,mg/L,0.00024
V100015438,mg/L,0.00024
V100014848,mg/L,0.0002415
V100014845,mg/L,0.00024375
V100003074,mg/L,0.000248171
V100014594,mg/L,0.0002482
V100002297,mg/L,0.00025
V100004101,mg/L,0.00025
V100015538,mg/L,0.000250455
V100011439,mg/L,0.000254545
V100011705,mg/L,0.000254545
V100011617,mg/L,0.000263636
V100001705,mg/L,0.000265556
V100011379,mg/L,0.000266667
V100015435,mg/L,0.00027
V100011611,mg/L,0.000272727
V100015007,mg/L,0.000278333
V100015430,mg/L,0.00028
V100011522,mg/L,0.000281818
V100014851,mg/L,0.000282167
V100015535,mg/L,0.000285455
V100015541,mg/L,0.000287143
V100015437,mg/L,0.00029
V100015451,mg/L,0.00029
V100015533,mg/L,0.000292727
V100002802,mg/L,3.00E-04
V100004076,mg/L,3.00E-04
V100004094,mg/L,3.00E-04
V100004546,mg/L,3.00E-04
V100008613,mg/L,3.00E-04
V100010412,mg/L,3.00E-04
V100011613,mg/L,3.00E-04
V100012155,mg/L,0.0003
V100012746,mg/L,0.0003
V100012751,mg/L,0.0003
V100015434,mg/L,3.00E-04
V100015808,mg/L,3.00E-04
V100016341,mg/L,3.00E-04
V100016354,mg/L,3.00E-04
V100016359,mg/L,3.00E-04
V100016376,mg/L,3.00E-04
V100016548,mg/L,3.00E-04
V100016857,mg/L,3.00E-04
V100016861,mg/L,3.00E-04
V100011409,mg/L,0.000309091
V100011446,mg/L,0.000309091
V100009514,mg/L,0.00031
V100011448,mg/L,0.00031
V100003868,mg/L,0.0003148
V100011125,mg/L,0.000318182
V100008110,mg/L,0.00032
V100011193,mg/L,0.00032
V100011442,mg/L,0.00032
V100015432,mg/L,0.00032
V100015450,mg/L,0.00032
V100015487,mg/L,0.00032
V100014590,mg/L,0.0003204
V100011190,mg/L,0.000325
V100011126,mg/L,0.000327273
V100003888,mg/L,0.000328
V100003481,mg/L,0.000329143
V100010488,mg/L,0.000333333
V100003477,mg/L,0.000334
V100003767,mg/L,0.000334
V100011057,mg/L,0.000336364
V100003430,mg/L,0.000338
V100002052,mg/L,0.00034
V100002579,mg/L,0.00034
V100009196,mg/L,0.00034
V100011806,mg/L,0.00034
V100014906,mg/L,0.00034
V100015452,mg/L,0.00034
V100016694,mg/L,0.00034
V100011699,mg/L,0.000345455
V100001696,mg/L,0.000346429
V100015544,mg/L,0.000346923
V100003655,mg/L,0.000349
V100015232,mg/L,0.00035
V100014846,mg/L,0.0003515
V100015534,mg/L,0.000352727
V100001692,mg/L,0.000352857
V100011058,mg/L,0.000354545
V100011410,mg/L,0.000354545
V100011702,mg/L,0.000354545
V100015549,mg/L,0.000357857
V100011092,mg/L,0.00036
V100015393,mg/L,0.0003636
V100006509,mg/L,0.000364286
V100011523,mg/L,0.000366667
V100002980,mg/L,0.000371
V100009140,mg/L,0.00037525
V100011445,mg/L,0.000377778
V100015529,mg/L,0.000378
V100001934,mg/L,0.00038
V100011230,mg/L,0.00038
V100011372,mg/L,0.00038
V100016865,mg/L,0.00038
V100003086,mg/L,0.000384
V100015122,mg/L,0.00039
V100015433,mg/L,0.00039
V100011447,mg/L,0.000390909
V100015552,mg/L,0.000394286
V100004034,mg/L,4.00E-04
V100010415,mg/L,4.00E-04
V100011158,mg/L,4.00E-04
V100011486,mg/L,4.00E-04
V100011614,mg/L,4.00E-04
V100011758,mg/L,4.00E-04
V100012729,mg/L,0.0004
V100012764,mg/L,0.0004
V100013676,mg/L,0.0004
V100013689,mg/L,0.0004
V100014082,mg/L,0.0004
V100014268,mg/L,0.0004
V100014276,mg/L,0.0004
V100016301,mg/L,4.00E-04
V100016333,mg/L,4.00E-04
V100016338,mg/L,4.00E-04
V100016347,mg/L,4.00E-04
V100016369,mg/L,4.00E-04
V100016372,mg/L,4.00E-04
V100016829,mg/L,4.00E-04
V100016830,mg/L,4.00E-04
V100016832,mg/L,4.00E-04
V100016833,mg/L,4.00E-04
V100016839,mg/L,4.00E-04
