uniqueID,ChlUnits,ChlValues
V100016843,mg/L,4.00E-04
V100016846,mg/L,4.00E-04
V100015540,mg/L,0.000404524
V100004470,mg/L,0.000407
V100011756,mg/L,0.000409091
V100014961,mg/L,0.00041
V100014973,mg/L,0.00041
V100003488,mg/L,0.000410133
V100015532,mg/L,0.000412353
V100011807,mg/L,0.000418182
V100005793,mg/L,0.000421091
V100003085,mg/L,0.000424
V100011438,mg/L,0.000425
V100015556,mg/L,0.000425
V100011526,mg/L,0.000427273
V100003681,mg/L,0.000428
V100015546,mg/L,0.000428333
V100011655,mg/L,0.00043
V100011163,mg/L,0.000433333
V100011228,mg/L,0.000436364
V100011566,mg/L,0.000436364
V100014954,mg/L,0.00044
V100015485,mg/L,0.00044
V100003070,mg/L,0.000441143
V100011199,mg/L,0.000446154
V100001688,mg/L,0.000447143
V100002586,mg/L,0.00045
V100011128,mg/L,0.00045
V100011652,mg/L,0.00045
V100013163,mg/L,0.00045
V100011488,mg/L,0.000454545
V100011571,mg/L,0.000454545
V100004348,mg/L,0.000456
V100002819,mg/L,0.00046
V100011226,mg/L,0.00046
V100011333,mg/L,0.00046
V100011525,mg/L,0.00046
V100011485,mg/L,0.000463636
V100003415,mg/L,0.000464
V100011227,mg/L,0.000466667
V100011657,mg/L,0.00047
V100015659,mg/L,0.00047
V100016547,mg/L,0.00047
V100004454,mg/L,0.00048
V100011124,mg/L,0.00048
V100011291,mg/L,0.00048
V100011701,mg/L,0.00048
V100014946,mg/L,0.00048
V100015239,mg/L,0.00048
V100015446,mg/L,0.00048
V100011056,mg/L,0.000481818
V100011529,mg/L,0.000481818
V100004419,mg/L,0.000483
V100004460,mg/L,0.000484
V100003843,mg/L,0.000486857
V100011060,mg/L,0.000488889
V100001809,mg/L,0.00049
V100002574,mg/L,0.00049
V100004432,mg/L,0.00049
V100016572,mg/L,0.00049
V100016670,mg/L,0.00049
V100010870,mg/L,0.000490909
V100011373,mg/L,0.000490909
V100011378,mg/L,0.000490909
V100010114,mg/L,0.000495
V100002306,mg/L,5.00E-04
V100002958,mg/L,5.00E-04
V100004031,mg/L,5.00E-04
V100004039,mg/L,5.00E-04
V100004070,mg/L,5.00E-04
V100004080,mg/L,5.00E-04
V100006618,mg/L,5.00E-04
V100006977,mg/L,5.00E-04
V100007064,mg/L,5.00E-04
V100007092,mg/L,5.00E-04
V100007262,mg/L,5.00E-04
V100007319,mg/L,5.00E-04
V100007701,mg/L,5.00E-04
V100007813,mg/L,5.00E-04
V100008135,mg/L,5.00E-04
V100009370,mg/L,5.00E-04
V100010099,mg/L,5.00E-04
V100010193,mg/L,5.00E-04
V100011196,mg/L,5.00E-04
V100011615,mg/L,5.00E-04
V100012141,mg/L,5.00E-04
V100012291,mg/L,5.00E-04
V100012742,mg/L,5.00E-04
V100013176,mg/L,5.00E-04
V100014099,mg/L,5.00E-04
V100014250,mg/L,5.00E-04
V100014886,mg/L,5.00E-04
V100015516,mg/L,5.00E-04
V100016303,mg/L,5.00E-04
V100016346,mg/L,5.00E-04
V100016362,mg/L,5.00E-04
V100016368,mg/L,5.00E-04
V100016534,mg/L,5.00E-04
V100016690,mg/L,5.00E-04
V100016847,mg/L,5.00E-04
V100015009,mg/L,0.000503333
V100015011,mg/L,0.000506667
V100011609,mg/L,0.00051
V100010124,mg/L,0.000515
V100011717,mg/L,0.000515
V100009141,mg/L,0.000516344
V100011031,mg/L,0.000518182
V100011441,mg/L,0.000518182
V100004008,mg/L,0.000519
V100002295,mg/L,0.00052
V100011189,mg/L,0.00052
V100011698,mg/L,0.00052
V100004018,mg/L,0.000524
V100002989,mg/L,0.000525
V100006976,mg/L,0.0005275
V100002430,mg/L,0.00053
V100002829,mg/L,0.00053
V100014970,mg/L,0.00053
V100011061,mg/L,0.000533333
V100011796,mg/L,0.000533333
V100001673,mg/L,0.000534213
V100004010,mg/L,0.00054
V100011654,mg/L,0.00054
V100004437,mg/L,0.000544
V100011131,mg/L,0.000544444
V100002283,mg/L,0.000545
V100008007,mg/L,0.000546448
V100015811,mg/L,0.000548
V100002287,mg/L,0.00055
V100011610,mg/L,0.00055
V100011658,mg/L,0.00055
V100011759,mg/L,0.000555556
V100003857,mg/L,0.00056
V100014907,mg/L,0.00056
V100015229,mg/L,0.00056
V100015425,mg/L,0.00056
V100006146,mg/L,0.0005625
V100011192,mg/L,0.000563636
V100004136,mg/L,0.000566
V100014948,mg/L,0.00057
V100015539,mg/L,0.0005725
V100011616,mg/L,0.000572727
V100010029,mg/L,0.000575
V100003746,mg/L,0.000576
V100011264,mg/L,0.000577778
V100011233,mg/L,0.00058
V100014960,mg/L,0.00058
V100015599,mg/L,0.00058
V100016454,mg/L,0.00058
V100015537,mg/L,0.000580909
V100011608,mg/L,0.000581818
V100001709,mg/L,0.00059
V100004915,mg/L,0.00059
V100014944,mg/L,0.00059
V100015247,mg/L,0.000595
V100004202,mg/L,0.000598
V100001653,mg/L,0.000598953
V100004028,mg/L,6.00E-04
V100004029,mg/L,6.00E-04
V100004037,mg/L,6.00E-04
V100004425,mg/L,6.00E-04
V100004545,mg/L,6.00E-04
V100006804,mg/L,6.00E-04
V100007272,mg/L,6.00E-04
V100010403,mg/L,6.00E-04
V100010443,mg/L,6.00E-04
V100010459,mg/L,6.00E-04
V100011191,mg/L,6.00E-04
V100011295,mg/L,6.00E-04
V100011296,mg/L,6.00E-04
V100011334,mg/L,6.00E-04
V100012304,mg/L,0.0006
V100012313,mg/L,0.0006
V100012583,mg/L,0.0006
V100012596,mg/L,0.0006
V100012756,mg/L,0.0006
V100012913,mg/L,0.0006
V100012939,mg/L,0.0006
V100013051,mg/L,0.0006
V100013185,mg/L,0.0006
V100013658,mg/L,0.0006
V100013671,mg/L,0.0006
V100013778,mg/L,6.00E-04
V100013945,mg/L,0.0006
V100013954,mg/L,0.0006
V100013978,mg/L,0.0006
V100013983,mg/L,0.0006
V100014073,mg/L,0.0006
V100014086,mg/L,0.0006
V100014147,mg/L,0.0006
V100014241,mg/L,0.0006
V100014245,mg/L,0.0006
V100014263,mg/L,0.0006
V100014281,mg/L,0.0006
V100014430,mg/L,6.00E-04
V100014964,mg/L,6.00E-04
V100015172,mg/L,6.00E-04
V100015183,mg/L,6.00E-04
V100015836,mg/L,6.00E-04
V100015837,mg/L,6.00E-04
V100016329,mg/L,6.00E-04
V100016330,mg/L,6.00E-04
V100016340,mg/L,6.00E-04
V100016344,mg/L,6.00E-04
V100016351,mg/L,6.00E-04
V100016360,mg/L,6.00E-04
V100016361,mg/L,6.00E-04
V100016370,mg/L,6.00E-04
V100016373,mg/L,6.00E-04
V100003421,mg/L,0.000600201
V100004017,mg/L,0.000602667
V100007277,mg/L,0.000605
V100007220,mg/L,0.000607561
V100011055,mg/L,0.000609091
V100011024,mg/L,0.00061
V100014942,mg/L,0.00061
V100003499,mg/L,0.0006112
V100011034,mg/L,0.0006125
V100004158,mg/L,0.000614
V100004409,mg/L,0.000618
V100011234,mg/L,0.000618182
V100011570,mg/L,0.000618182
V100002570,mg/L,0.00062
V100011162,mg/L,0.00062
V100016671,mg/L,0.00062
V100003196,mg/L,0.0006205
V100004345,mg/L,0.000623
V100011528,mg/L,0.000627273
V100001798,mg/L,0.00063
V100003432,mg/L,0.00063
V100011135,mg/L,0.00063
V100015428,mg/L,0.00063
V100014780,mg/L,0.000633939
V100001704,mg/L,0.000634444
V100016545,mg/L,0.000635
V100003413,mg/L,0.000637333
V100001819,mg/L,0.00064
V100014905,mg/L,0.00064
V100001650,mg/L,0.000641668
V100011444,mg/L,0.000644444
V100002595,mg/L,0.00065
V100003632,mg/L,0.00065
V100011231,mg/L,0.00065
V100011537,mg/L,0.00065
V100013646,mg/L,0.00065
V100003941,mg/L,0.000652
V100006034,mg/L,0.000652101
V100001923,mg/L,0.00066
V100002597,mg/L,0.00066
V100014951,mg/L,0.00066
V100015429,mg/L,0.00066
V100003842,mg/L,0.000664
V100011237,mg/L,0.000666667
V100011742,mg/L,0.000666667
V100002587,mg/L,0.00067
V100011794,mg/L,0.00067
V100014898,mg/L,0.00067
V100014938,mg/L,0.00067
V100014953,mg/L,0.00067
V100011336,mg/L,0.000672727
V100011340,mg/L,0.000672727
V100001796,mg/L,0.00068
V100001936,mg/L,0.00068
V100002831,mg/L,0.00068
V100002888,mg/L,0.00068
V100015424,mg/L,0.00068
V100009640,mg/L,0.000683859
V100003428,mg/L,0.000684
V100009160,mg/L,0.000684456
V100011069,mg/L,0.000688889
V100011198,mg/L,0.000688889
V100002104,mg/L,0.00069
V100002289,mg/L,0.00069
V100011332,mg/L,0.000690909
V100003678,mg/L,0.000692
V100004211,mg/L,0.000692
V100014775,mg/L,0.000693857
V100004457,mg/L,0.000698
V100001844,mg/L,7.00E-04
V100001935,mg/L,7.00E-04
V100002892,mg/L,7.00E-04
V100004038,mg/L,7.00E-04
V100004053,mg/L,7.00E-04
V100004055,mg/L,7.00E-04
V100004058,mg/L,7.00E-04
V100004081,mg/L,7.00E-04
V100004102,mg/L,7.00E-04
V100004103,mg/L,7.00E-04
V100006490,mg/L,7.00E-04
V100006825,mg/L,7.00E-04
V100010406,mg/L,7.00E-04
V100010422,mg/L,7.00E-04
V100010432,mg/L,7.00E-04
V100010460,mg/L,7.00E-04
V100011236,mg/L,7.00E-04
V100011618,mg/L,7.00E-04
V100012061,mg/L,0.0007
V100012128,mg/L,0.0007
V100012154,mg/L,0.0007
V100012306,mg/L,0.0007
V100012314,mg/L,0.0007
V100012441,mg/L,0.0007
V100012463,mg/L,0.0007
V100012646,mg/L,0.0007
V100012658,mg/L,0.0007
V100012719,mg/L,0.0007
V100012726,mg/L,0.0007
V100012738,mg/L,0.0007
V100012865,mg/L,0.0007
V100012887,mg/L,0.0007
V100012891,mg/L,0.0007
V100012944,mg/L,0.0007
V100013063,mg/L,0.0007
V100013198,mg/L,0.0007
V100013223,mg/L,0.0007
V100013322,mg/L,0.0007
V100013326,mg/L,0.0007
V100013335,mg/L,0.0007
V100013361,mg/L,0.0007
V100013482,mg/L,0.0007
V100013491,mg/L,0.0007
V100013517,mg/L,0.0007
V100013684,mg/L,0.0007
V100013813,mg/L,7.00E-04
V100013825,mg/L,7.00E-04
V100013967,mg/L,0.0007
V100014134,mg/L,0.0007
V100014255,mg/L,0.0007
V100014289,mg/L,0.0007
V100014354,mg/L,7.00E-04
V100014949,mg/L,7.00E-04
V100015170,mg/L,7.00E-04
V100015176,mg/L,7.00E-04
V100015184,mg/L,7.00E-04
V100016288,mg/L,7.00E-04
V100016332,mg/L,7.00E-04
V100016334,mg/L,7.00E-04
V100016336,mg/L,7.00E-04
V100016339,mg/L,7.00E-04
V100016352,mg/L,7.00E-04
V100016365,mg/L,7.00E-04
V100016377,mg/L,7.00E-04
V100003654,mg/L,0.000701333
V100003850,mg/L,0.000704
V100001813,mg/L,0.000705
V100003585,mg/L,0.000708
V100004469,mg/L,0.000708
V100011263,mg/L,0.000709091
V100015370,mg/L,0.00071
V100004370,mg/L,0.000715
V100003088,mg/L,0.000717714
V100011489,mg/L,0.000718182
V100004149,mg/L,0.00072
V100008048,mg/L,0.00072
V100011188,mg/L,0.00072
V100013637,mg/L,0.00072
V100014966,mg/L,0.00072
V100015480,mg/L,0.000725
V100003682,mg/L,0.000725333
V100004343,mg/L,0.000726
V100011102,mg/L,0.000727273
V100011225,mg/L,0.000727273
V100011671,mg/L,0.000728333
V100001685,mg/L,0.00073
V100002100,mg/L,0.00073
V100003878,mg/L,0.000731
V100002281,mg/L,0.000735
V100014940,mg/L,0.00074
V100016676,mg/L,0.00074
V100003425,mg/L,0.000742
V100011337,mg/L,0.000742857
V100010936,mg/L,0.000744444
V100011527,mg/L,0.000745455
V100011706,mg/L,0.000745455
V100011187,mg/L,0.00075
V100001745,mg/L,0.000750909
V100015531,mg/L,0.000753636
V100011089,mg/L,0.000754545
V100015010,mg/L,0.000756667
V100011103,mg/L,0.000758333
V100002876,mg/L,0.00076
V100015799,mg/L,0.00076
V100011195,mg/L,0.000763636
V100011136,mg/L,0.000766667
V100003666,mg/L,0.000769231
V100001746,mg/L,0.00077
V100007767,mg/L,0.00077
V100010836,mg/L,0.00077
V100014875,mg/L,0.00077
V100014893,mg/L,0.00077
V100014956,mg/L,0.00077
V100010968,mg/L,0.000772222
V100011100,mg/L,0.000773333
V100011292,mg/L,0.000777778
V100002396,mg/L,0.00078
V100002584,mg/L,0.00078
V100007136,mg/L,0.00078
V100009288,mg/L,0.00078
V100011293,mg/L,0.00078
V100014935,mg/L,0.00078
V100011197,mg/L,0.000781818
V100011479,mg/L,0.000781818
V100011101,mg/L,0.000785
V100011565,mg/L,0.000785714
V100002274,mg/L,0.00079
V100002291,mg/L,0.00079
V100007204,mg/L,0.00079
V100015330,mg/L,0.00079
V100015812,mg/L,0.00079
V100016866,mg/L,0.00079
V100010994,mg/L,0.000790476
V100011563,mg/L,0.000790909
V100014785,mg/L,0.000790923
V100001663,mg/L,0.000791605
V100004417,mg/L,0.000794
V100004292,mg/L,0.000799
V100001794,mg/L,8.00E-04
V100002578,mg/L,8.00E-04
V100002961,mg/L,8.00E-04
V100002971,mg/L,8.00E-04
V100004035,mg/L,8.00E-04
V100004036,mg/L,8.00E-04
V100004116,mg/L,8.00E-04
V100009736,mg/L,8.00E-04
V100010515,mg/L,8.00E-04
V100011408,mg/L,8.00E-04
V100011660,mg/L,8.00E-04
V100011755,mg/L,8.00E-04
V100011936,mg/L,0.0008
V100012020,mg/L,0.0008
V100012030,mg/L,0.0008
V100012189,mg/L,0.0008
V100012356,mg/L,0.0008
V100012476,mg/L,0.0008
V100012587,mg/L,0.0008
V100012592,mg/L,0.0008
V100012605,mg/L,0.0008
V100012711,mg/L,0.0008
V100012755,mg/L,0.0008
V100012861,mg/L,0.0008
V100013055,mg/L,0.0008
V100013159,mg/L,0.0008
V100013172,mg/L,0.0008
V100013211,mg/L,0.0008
V100013215,mg/L,0.0008
V100013236,mg/L,0.0008
V100013313,mg/L,0.0008
V100013366,mg/L,0.0008
V100013469,mg/L,0.0008
V100013542,mg/L,0.0008
V100013624,mg/L,0.0008
V100013791,mg/L,8.00E-04
V100013800,mg/L,8.00E-04
V100013838,mg/L,8.00E-04
V100014095,mg/L,0.0008
V100014108,mg/L,0.0008
V100014121,mg/L,0.0008
V100014242,mg/L,0.0008
V100014254,mg/L,0.0008
V100014294,mg/L,0.0008
V100014408,mg/L,0.0008
V100014417,mg/L,8.00E-04
V100014422,mg/L,8.00E-04
V100015159,mg/L,8.00E-04
V100015171,mg/L,8.00E-04
V100015178,mg/L,8.00E-04
V100015181,mg/L,8.00E-04
V100015250,mg/L,8.00E-04
V100016280,mg/L,8.00E-04
V100016326,mg/L,8.00E-04
V100016342,mg/L,8.00E-04
V100016355,mg/L,8.00E-04
V100016364,mg/L,8.00E-04
V100016831,mg/L,8.00E-04
V100016852,mg/L,8.00E-04
V100001904,mg/L,0.000805
V100010928,mg/L,0.000809091
V100015536,mg/L,0.000809545
V100008364,mg/L,0.00081
V100014936,mg/L,0.00081
V100015012,mg/L,0.00081
V100004184,mg/L,0.000818
V100002093,mg/L,0.00082
V100002098,mg/L,0.00082
V100015248,mg/L,0.00082
V100016648,mg/L,0.00082
V100000585,mg/L,0.000820096
V100011229,mg/L,0.000825
V100001165,mg/L,0.000825814
V100004446,mg/L,0.000828
V100004464,mg/L,0.000828
V100004024,mg/L,0.000829333
V100002604,mg/L,0.00083
V100002878,mg/L,0.00083
V100011627,mg/L,0.00083
V100014972,mg/L,0.00083
V100016566,mg/L,0.00083
V100011002,mg/L,0.000831818
V100004375,mg/L,0.000833
V100011030,mg/L,0.000835
V100011059,mg/L,0.000836364
V100004214,mg/L,0.00084
V100015670,mg/L,0.00084
V100003250,mg/L,0.000842667
V100009139,mg/L,0.000848065
V100014741,mg/L,0.000848253
V100011569,mg/L,0.00085
V100011483,mg/L,0.000854545
V100008200,mg/L,0.000855
V100010757,mg/L,0.000855
V100001908,mg/L,0.00086
V100002882,mg/L,0.00086
V100010703,mg/L,0.0008613
V100004367,mg/L,0.000862
V100011751,mg/L,0.000863636
V100003547,mg/L,0.000864
V100003852,mg/L,0.000867176
V100002301,mg/L,0.00087
V100011094,mg/L,0.00087
V100014871,mg/L,0.00087
V100015220,mg/L,0.00087
V100016492,mg/L,0.00087
V100010963,mg/L,0.000872727
V100011132,mg/L,0.000872727
V100014723,mg/L,0.000873113
V100004131,mg/L,0.000876
V100011065,mg/L,0.000877273
V100010736,mg/L,0.0008775
V100001810,mg/L,0.00088
V100014903,mg/L,0.00088
V100015404,mg/L,0.00088
V100016496,mg/L,0.00088
V100016628,mg/L,0.00088
V100011032,mg/L,0.000881818
V100003411,mg/L,0.000884571
V100015600,mg/L,0.000885
V100011003,mg/L,0.000885714
V100003665,mg/L,0.0008896
V100002101,mg/L,0.00089
V100002318,mg/L,0.00089
V100007124,mg/L,0.00089
V100015263,mg/L,0.00089
V100003949,mg/L,0.000892
V100004461,mg/L,0.000896
V100004342,mg/L,0.000899
V100002590,mg/L,9.00E-04
V100002627,mg/L,9.00E-04
V100004069,mg/L,9.00E-04
V100004113,mg/L,9.00E-04
V100004692,mg/L,9.00E-04
V100005450,mg/L,9.00E-04
V100009755,mg/L,9.00E-04
V100009864,mg/L,9.00E-04
V100010327,mg/L,9.00E-04
V100010411,mg/L,9.00E-04
V100011754,mg/L,9.00E-04
V100011805,mg/L,9.00E-04
V100012163,mg/L,0.0009
V100012167,mg/L,0.0009
V100012176,mg/L,0.0009
V100012300,mg/L,0.0009
V100012310,mg/L,0.0009
