uniqueID,StudyID,Year,Month,Lat,Lon,StudyLakeName,LakeCountry,Hydrolakes,GoogleName,UniqueLakeName,DataType
V100015671,13,2006,9,-35.8166667,-57.81666667,Lacombe,Argenti,NA,G-35.771-057.807,Lake3619,surveyed
V100015647,13,2005,1,-36.8,-57.78333333,Kakel Huincul,Argenti,NA,G-36.793-057.775,Lake3620,surveyed
V100015670,13,2006,9,-36.8,-57.78333333,Kakel Huincul,Argenti,NA,G-36.793-057.775,Lake3620,surveyed
V100015662,13,2006,2,-41.35,-71.51666667,Juventus,Argenti,NA,G-41.360-071.508,Lake3623,surveyed
V100015656,13,2005,11,-35.6,-58.03333333,Chascom?ù®s,Argenti,H0010521,NA,Lake4102,surveyed
V100015664,13,2006,6,-35.6,-58.03333333,Chascom?ù®s,Argenti,H0010521,NA,Lake4102,surveyed
V100015669,13,2006,9,-35.6,-58.03333333,Chascom?ù®s,Argenti,H0010521,NA,Lake4102,surveyed
V100015644,14,2014,,30.933,119.9,Lake Taihu,Chi,NA,G_Taihu+30.912+119.897,Lake2352,surveyed
V100015640,19,2015,6,43.2324,-86.2945,Muskegon Lake,USA,H0009078,NA,Lake4042,surveyed
V100015641,19,2015,7,43.2324,-86.2945,Muskegon Lake,USA,H0009078,NA,Lake4042,surveyed
V100015642,19,2015,8,43.2324,-86.2945,Muskegon Lake,USA,H0009078,NA,Lake4042,surveyed
V100015643,19,2015,9,43.2324,-86.2945,Muskegon Lake,USA,H0009078,NA,Lake4042,surveyed
V100015639,20,2016,,30.223,114.197,Lake Luhu,Chi,H0015315,NA,Lake4169,surveyed
V100015638,22,2007,,-33.523,-53.13,lake Mangueira,Brazil,H0000968,NA,Lake3805,surveyed
V100015618,26,2016,,55.07129032,9.286179754,R?ù®dekro 23,Denmark,NA,NA,Lake1368,surveyed
V100015623,26,2016,,55.83879269,6.239350313,St. Rosenbusk lake 3,Denmark,NA,NA,Lake1369,surveyed
V100015631,26,2016,,54.9620982,9.285309435,Uge 3,Denmark,NA,G_Kevin004+54.963+009.431,Lake1820,surveyed
V100015630,26,2016,,54.97372139,9.279877068,Uge 1,Denmark,NA,G_Kevin005+54.963+009.431,Lake1821,surveyed
V100015632,26,2016,,54.97387307,9.313482353,Uge 40,Denmark,NA,G_Kevin006+54.963+009.431,Lake1822,surveyed
V100015633,26,2016,,54.97333476,9.283842467,Uge 41,Denmark,NA,G_Kevin007+54.963+009.431,Lake1823,surveyed
V100015610,26,2016,,55.90215092,9.695660744,Nim 10,Denmark,NA,G_Kevin008+55.969+009.706,Lake1824,surveyed
V100015611,26,2016,,55.90424803,9.687029087,Nim 9,Denmark,NA,G_Kevin009+55.969+009.706,Lake1825,surveyed
V100015634,26,2016,,55.98195267,9.715459441,Vestbirk 12,Denmark,NA,G_Kevin010+55.992+009.721,Lake1826,surveyed
V100015636,26,2016,,55.98378384,9.703280174,Vestbirk 14,Denmark,NA,G_Kevin011+55.992+009.721,Lake1827,surveyed
V100015635,26,2016,,55.98488361,9.713606212,Vestbirk 13,Denmark,NA,G_Kevin012+55.992+009.721,Lake1828,surveyed
V100015629,26,2016,,56.14800965,9.189331249,Tulstrup 6,Denmark,NA,G_Kevin013+56.175+009.376,Lake1829,surveyed
V100015625,26,2016,,56.15551461,9.187565105,Tulstrup 2,Denmark,NA,G_Kevin014+56.175+009.376,Lake1830,surveyed
V100015624,26,2016,,56.15612509,9.199352478,Tulstrup 1,Denmark,NA,G_Kevin015+56.175+009.376,Lake1831,surveyed
V100015627,26,2016,,56.15103147,9.181378203,Tulstrup 4,Denmark,NA,G_Kevin016+56.213+009.024,Lake1832,surveyed
V100015626,26,2016,,56.15322877,9.18406077,Tulstrup 3,Denmark,NA,G_Kevin017+56.213+009.024,Lake1833,surveyed
V100015615,26,2016,,55.0550495,9.30567862,R?ù®dekro 19,Denmark,NA,G_Kevin400+55.056+009.363,Lake1967,surveyed
V100015614,26,2016,,55.05875927,9.309871288,R?ù®dekro 14,Denmark,NA,G_Kevin401+55.056+009.363,Lake1968,surveyed
V100015617,26,2016,,55.07265397,9.290934789,R?ù®dekro 22,Denmark,NA,G_Kevin402+55.056+009.363,Lake1969,surveyed
V100015619,26,2016,,55.0727693,9.28395077,R?ù®dekro 24,Denmark,NA,G_Kevin403+55.056+009.363,Lake1970,surveyed
V100015621,26,2016,,55.09148313,9.315106857,R?ù®dekro 34,Denmark,NA,G_Kevin404+55.056+009.363,Lake1971,surveyed
V100015620,26,2016,,55.09624694,9.300461256,R?ù®dekro 28,Denmark,NA,G_Kevin405+55.056+009.363,Lake1972,surveyed
V100015622,26,2016,,55.08990529,9.299363962,R?ù®dekro 36,Denmark,NA,G_Kevin406+55.056+009.363,Lake1973,surveyed
V100015607,26,2016,,55.6243841,6.177017091,Flinte lake south,Denmark,NA,G_WRONGCOORD+55.624+006.177,Lake2429,surveyed
V100015606,26,2016,,55.62838817,6.177571162,Flinte lake north,Denmark,NA,G_WRONGCOORD+55.628+006.178,Lake2430,surveyed
V100015637,26,2016,,55.63444323,6.18640019,Vinkel lake,Denmark,NA,G_WRONGCOORD+55.634+006.186,Lake2431,surveyed
V100015608,26,2016,,55.63362012,6.18892231,Hedesletten,Denmark,NA,G_WRONGCOORD+55.634+006.189,Lake2432,surveyed
V100015605,26,2016,,55.63730872,6.183175113,Flade lake,Denmark,NA,G_WRONGCOORD+55.637+006.183,Lake2433,surveyed
V100015603,26,2016,,55.91211696,6.06082089,?ù®lsted grusgrav,Denmark,NA,G_WRONGCOORD+55.912+006.061,Lake2434,surveyed
V100015613,26,2016,,56.04312302,6.416633317,"Plejelt, little lake",Denmark,NA,G_WRONGCOORD+56.043+006.417,Lake2435,surveyed
V100015612,26,2016,,56.04377449,6.417697773,"Plejelt, big lake",Denmark,NA,G_WRONGCOORD+56.044+006.418,Lake2436,surveyed
V100015604,26,2016,,56.04619806,6.425709907,Dager?ù®d lake,Denmark,NA,G_WRONGCOORD+56.046+006.426,Lake2437,surveyed
V100015628,26,2016,,56.14928865,9.18122513,Tulstrup 5,Denmark,NA,G+56.154+008.988,Lake3570,surveyed
V100015609,26,2016,,56.30484054,9.651421062,Kongensbro ,Denmark,NA,G+56.330+009.585,Lake3571,surveyed
V100015616,26,2016,,55.06107866,9.305959408,R?ù®dekro 20,Denmark,H1316265,NA,Lake8280,surveyed
V100015602,29,,,47.723,-86.941,Superior,Canada,H0000005,NA,Lake2342,surveyed
V100015600,29,,,43.45,-87.222,Michigan,Canada,H0000006,NA,Lake3629,surveyed
V100015601,29,,,43.633,-77.827,Ontario,Canada,H0000007,NA,Lake1379,surveyed
V100015599,29,,,45.052,-82.485,Huron,Canada,H0000008,NA,Lake3630,surveyed
V100015598,29,,,42.067,-81.34,Erie,Canada,H0000009,NA,Lake1314,surveyed
V100015597,33,2015,9,5.545,-72.928,Lago de Tota,Colombia,H0009947,NA,Lake4096,surveyed
V100015595,42,2009,,-35.445,139.082,Lakes Alexandria and Albert,Australia,H0001692,NA,Lake3914,surveyed
V100015596,42,2011,,-35.445,139.082,Lakes Alexandria and Albert,Australia,H0001692,NA,Lake3914,surveyed
V100015583,53,2015,10,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015584,53,2015,11,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015585,53,2015,12,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015586,53,2016,1,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015587,53,2016,2,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015588,53,2016,3,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015589,53,2016,4,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015590,53,2016,5,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015591,53,2016,6,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015592,53,2016,7,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
