StudyID,PI,Layer,Method,Filtered,Notes
1,AS,undescribed,spectrophotometer,yes,ethanol extraction
2,OM,integrated water sample,undescribed,,
12,OM,integrated water sample,spectrophotometer,,high performance liquid chromatography
13,AF,0.2 m,radiometer,,
14,AF,surface water sample ,spectrophotometer,yes,ethanol extraction
19,AS,surface water sample ,ysi sensors,undescribed,undescribed
20,AS,undescribed,spectrophotometer,yes,acetone extraction
22,AS,surface water sample ,undescribed,yes,ethanol extraction
26,AF,Not described,Not described,,
29,OM,integrated water sample,fluorometer,,
33,AS,5-7m,spectrophotometer,yes,undescribed
42,AS,surface water sample ,calibrated electrodes - multiparameter meter,undescribed,
53,AF,integrated water sample,spectrophotometer,,
54,AS,subsurface water sample,Nusch method ,yes,ethanol extraction
55,AF,Not described,fluorometer,,YSI water quality probe
56,AS,undescribed,multiparameter probe,undescribed,undescribed
59,AS,surface water sample ,undescribed,undescribed,undescribed
65,AS,undescribed,modelled,undescribed,undescribed
70,AS,surface water sample ,spectrophotometer,yes,ethanol extraction
72,AS,integrated water sample,spectrophotometer,yes,acetone extraction
74,AF,integrated water sample,fluorometer,yes,YSI water quality probe
78,AF,Not described,modelled,,Satellite downscaled
79,OM,1-3m,undescribed,,
82,OM,undescribed,modelled,,
89,AS,undescribed,modelled,undescribed,modelled
93,AS,undescribed,modelled,undescribed,modelled
104,AF,surface water sample ,spectrophotometer,yes,
108,OM,surface water sample ,undescribed,,
116,AF,Not described,spectrophotometer,yes,acetone extraction
118,AS,undescribed,multiparameter probe,undescribed,undescribed
119,AS,undescribed,modelled,undescribed,satellite 
120,OM,surface water sample ,spectrophotometer,yes,acetone extraction
122,AS,undescribed,trichromatic method,yes,acetone extraction
127,AF,surface water sample ,spectrophotometer,yes,
133,AS,undescribed,modelled,undescribed,modelled
140,AS,surface water sample ,spectrophotometer,yes,acetone extraction
146,AS,undescribed,spectrophotometer,yes,acetone extraction
147,AS,epilimnion ,spectrophotometer,yes,methanol extraction
